name,info
Couscous,"the production of couscous is largely mechanized but it’s traditionally made by sprinkling semolina with water and rolling it by hand to form small pellets. The pellets are then sprinkled with flour to keep them separate before being sieved. Any pellets that fall through are rolled again until they achieve the proper size.

As you can imagine, the traditional preparation of couscous is a labor-intensive process. Groups of people would work together to create large batches that would last for several months. They’d form the balls of couscous then leave them out to dry in the sun. When ready for consumption, the couscous would be steamed and rehydrated in a couscousiere until the desired consistency was achieved.

Couscous is typically served in a large earthenware bowl or plate with a meat or vegetable stew spooned on top. It’s a communal affair with diners gathering around the plate to enjoy the meal. You’re meant to eat only the portion of food directly in front of you, so hosts would often place the choicest cuts of meat in front of esteemed guests.

Like Ethiopians, Moroccans traditionally eat using only their right hand. The left hand is used to perform hygienic duties and is thus considered unclean. It’s used only to pick up bread or to pass dishes to other guests.

To eat, a portion of couscous is gathered using the thumb and fingertips and then pressed into a ball and consumed. No matter how good it is, remember to use only your thumb and first two fingers when gathering couscous. In Moroccan culture, using any more is considered gluttony.

Interestingly, Friday is the traditional day to eat couscous in Morocco. Friday is a Muslim holy day and the equivalent to a Sunday in Christian cultures. After prayers, families would sit down to a large meal of couscous and stew made with seven vegetables – eggplant, carrots, zucchini, pumpkin, parsnips, tomatoes, and cabbage."
Shakshuka,"Shakshuka (or shakshouka) refers to a popular Mediterranean breakfast dish of poached eggs cooked in a tomato sauce with peppers, garlic, onions, olive oil, and spices. Popular throughout North Africa and the Middle East, its name translates to “mixture” and is believed to be either Tunisian or Yemeni in origin.

Shakshuka is a one-pan dish that can be prepared in many ways. It’s typically made with poached eggs though it can be made with scrambled eggs as well similar to a Turkish menemen. Recipes vary but common spices include ground coriander, paprika, cumin, and cayenne pepper. Some versions may include other ingredients as well like preserved lemon, sheep milk cheese, olives, harissa, sausage, and minced lamb.

Shakshuka is typically served in the pan in which it was cooked, often with crusty Moroccan bread which is meant to be dipped into the tomato sauce and runny poached egg."
Taktouka,"taktouka refers to a Moroccan salad made with tomatoes, roasted bell peppers, olive oil, paprika, and fresh parsley. It’s essentially a less saucy and milder-tasting version of shakshuka made without eggs.

Unlike shakshuka that’s typically enjoyed for breakfast, taktouka is served as a side dish to grilled meat and fish dishes or as a dip with bread."
Zaalouk,"Zaalouk is a popular Moroccan dip made with eggplant, fresh tomatoes, garlic, olive oil, and spices and herbs like cumin, paprika, parsley, and cilantro. Like taktouka, it’s typically served as a dip with crusty bread or as a side dish to Moroccan fish, chicken, or meat dishes.

Preparations for zaalouk vary but the best versions are made with roasted eggplant. It adds a wonderful smokiness and another layer of flavor to the dish."
Maakouda,"Maakouda refers to a type of potato fritter made with deep-fried mashed potatoes mixed with sautéed onions, garlic, cumin, and cilantro. It’s originally an Algerian dish that’s become popular in Morocco and Tunisia as well.

Maakouda can be enjoyed in many ways. It can be eaten as an appetizer, as a side dish, or as a filling for sandwiches. It’s often served as street food in Morocco and becomes especially popular during the month of Ramadan."
Harira,"Harira is a zesty tomato-based lentil and chickpea soup popular in the cuisines of Morocco and Algeria. It can be consumed at any time of the year though it becomes especially popular during Ramadan when it’s served to break the fast.

Recipes for harira vary from cook to cook but it’s typically made with tomatoes, chickpeas, lentils, onions, rice (or vermicelli), eggs, flour, herbs, and spices. The name harira is derived from the Arabic word for “silk” and refers to the consistency of the soup after it’s been thickened with eggs or a tedouira mixture of flour and water.

The stock can be flavored with beef, lamb, or chicken, though these ingredients can be omitted altogether to make a vegetarian version of the soup. Rice or vermicelli are often added as fillers while common seasonings include cilantro, parsley, ginger, cinnamon, and turmeric.

As described, harira is one of the main dishes served for iftar, the evening meal that breaks the fast. Like chebakia (Moroccan pastry), it’s served almost everyday in every Moroccan household during the month of Ramadan."
Bissara,"Bissara (or bessara, besarah) refers to a traditional North African soup made with dried and puréed split fava beans or split peas. It’s originally from Egypt though it’s become popular in Morocco as well, especially in the northern part of the country where it’s often served on its own or as a side dish to fish.

To prepare, the legumes are simmered with garlic, cumin, cayenne pepper, paprika, and olive oil before being puréed to a smooth consistency. It can be enjoyed in different ways depending on how thick it is. Thinner bissaras are eaten as soups while thicker versions are enjoyed as a dip with crusty Moroccan bread.

Often sold as street food in Morocco, bissara is a hearty and comforting dish that’s typically consumed during the winter months."
Briouat,"Briouats (or briwat) are small Moroccan pastries made with a variety of fillings wrapped in a paper-thin Moroccan dough called warqa. They can be baked or fried, sweet or savory, and rolled in triangular or cylindrical form.

Pictured below are savory briouats. Recipes vary but they’re typically made with meat (usually lamb, beef, or chicken), cheese, onions, and various herbs and spices like cilantro, parsley, cumin, paprika, cinnamon, and pepper."
Khobz,"Spend a day in Morocco and it becomes evident how important bread is to Moroccan cuisine and culture. Bread for Moroccans is what rice is to people from Southeast Asia. It’s consumed at almost every meal and functions both as food and as a vessel for scooping up Moroccan dips, salads, tagines, entrees, and side dishes.

There are many different types of bread in Morocco but the most common is this round loaf called khobz. Often referred to as force, in reference to the French word for strong white flour, khobz (or kesra, agroum) is a disc-shaped type of crusty white bread with a coarse interior and texture. It’s a versatile everyday bread that can be used as a scoop for Moroccan foods or as vessel for grilled meats and other sandwich fillings.

Khobz is sometimes described as flatbread but it’s thicker than your average flatbread. Thicknesses vary between bakers but many Moroccans prefer their khobz to be between 1.5-3 cm thick (0.6-1.3 in). They can be made into small personal-sized loaves or baked into larger family-sized rounds measuring 30 cm (12 in) in diameter.

Khobz is readily available at neighborhood bakeries and shops though many Moroccan families still prefer to make it from scratch (khobz dyal dar). They’ll bake it in home ovens or in communal wood-fired ovens known as ferran.

For breakfast, Moroccans like to have khobz with honey and soft cheese or dipped in olive oil. For lunch and dinner, it makes the perfect accompaniment to soups and tagines. Bread is considered sacred in Morocco and rarely wasted or thrown out."
Batbout,"Batbout (or mkhamer, toghrift, matlou‘) refers to a type of Moroccan flatbread. Made with semolina, white flour, and whole wheat flour, it’s basically the Moroccan equivalent to the Middle Eastern pita except it’s cooked on a stove top instead of being baked in an oven.

Batbout is a versatile bread that can be made into different sizes. Like pita, it contains a pocket and is often used as a vessel to hold different sandwich ingredients. On its own, it’s typically eaten for breakfast with butter, honey, or jam or served as a side to grilled meat dishes."
