title,ingredients,instructions
Moroccan Lentil Soup,"['2 onions, chopped ADVERTISEMENT', '2 cloves garlic, minced ADVERTISEMENT', '1 teaspoon grated fresh ginger ADVERTISEMENT', '6 cups water ADVERTISEMENT', '1 cup red lentils ADVERTISEMENT', '1 (15 ounce) can garbanzo beans, drained ADVERTISEMENT', '1 (19 ounce) can cannellini beans ADVERTISEMENT', '1 (14.5 ounce) can diced tomatoes ADVERTISEMENT', '1/2 cup diced carrots ADVERTISEMENT', '1/2 cup chopped celery ADVERTISEMENT', '1 teaspoon garam masala ADVERTISEMENT', '1 1/2 teaspoons ground cardamom ADVERTISEMENT', '1/2 teaspoon ground cayenne pepper ADVERTISEMENT', '1/2 teaspoon ground cumin ADVERTISEMENT', '1 tablespoon olive oil ADVERTISEMENT', 'ADVERTISEMENT']","In large pot saute; the onions, garlic, and ginger in a little olive oil for about 5 minutes.
Add the water, lentils, chick peas, white kidney beans, diced tomatoes, carrots, celery, garam masala, cardamom, cayenne pepper and cumin. Bring to a boil for a few minutes then simmer for 1 to 1 1/2 hours or longer, until the lentils are soft.
Puree half the soup in a food processor or blender. Return the pureed soup to the pot, stir and enjoy!
"
Moroccan-Style Stuffed Acorn Squash,"['2 tablespoons brown sugar ADVERTISEMENT', '1 tablespoon butter, melted ADVERTISEMENT', '2 large acorn squash, halved and seeded ADVERTISEMENT', '2 tablespoons olive oil ADVERTISEMENT', '2 cloves garlic, chopped ADVERTISEMENT', '2 stalks celery, chopped ADVERTISEMENT', '2 carrots, chopped ADVERTISEMENT', '1 cup garbanzo beans, drained ADVERTISEMENT', '1/2 cup raisins ADVERTISEMENT', '1 1/2 tablespoons ground cumin ADVERTISEMENT', 'salt and pepper to taste ADVERTISEMENT', '1 (14 ounce) can chicken broth ADVERTISEMENT', '1 cup uncooked couscous ADVERTISEMENT', 'ADVERTISEMENT']","Preheat oven to 350 degrees F (175 degrees C).
Arrange squash halves cut side down on a baking sheet. Bake 30 minutes, or until tender. Dissolve the sugar in the melted butter. Brush squash with the butter mixture, and keep squash warm while preparing the stuffing.
Heat the olive oil in a skillet over medium heat. Stir in the garlic, celery, and carrots, and cook 5 minutes. Mix in the garbanzo beans and raisins. Season with cumin, salt, and pepper, and continue to cook and stir until vegetables are tender.
Pour the chicken broth into the skillet, and mix in the couscous. Cover skillet, and turn off heat. Allow couscous to absorb liquid for 5 minutes. Stuff squash halves with the skillet mixture to serve.
"
Moroccan Tagine,"['1 tablespoon olive oil ADVERTISEMENT', '2 skinless, boneless chicken breast halves - cut into chunks ADVERTISEMENT', '1/2 onion, chopped ADVERTISEMENT', '3 cloves garlic, minced ADVERTISEMENT', '1 small butternut squash, peeled and chopped ADVERTISEMENT', '1 (15.5 ounce) can garbanzo beans, drained and rinsed ADVERTISEMENT', '1 carrot, peeled and chopped ADVERTISEMENT', '1 (14.5 ounce) can diced tomatoes with juice ADVERTISEMENT', '1 (14 ounce) can vegetable broth ADVERTISEMENT', '1 tablespoon sugar ADVERTISEMENT', '1 tablespoon lemon juice ADVERTISEMENT', '1 teaspoon salt ADVERTISEMENT', '1 teaspoon ground coriander ADVERTISEMENT', '1 dash cayenne pepper ADVERTISEMENT', 'ADVERTISEMENT']","Heat the olive oil in a large skillet over medium heat, and cook the chicken, onion, and garlic about 15 minutes, until browned.
Mix the squash, garbanzo beans, carrot, tomatoes with juice, broth, sugar, and lemon juice into the skillet. Season with salt, coriander, and cayenne pepper. Bring the mixture to a boil, and continue cooking 30 minutes, until vegetables are tender.
"
Moroccan Chicken,"['1 pound skinless, boneless chicken breast meat - cubed ADVERTISEMENT', '2 teaspoons salt ADVERTISEMENT', '1 onion, chopped ADVERTISEMENT', '2 cloves garlic, chopped ADVERTISEMENT', '2 carrots, sliced ADVERTISEMENT', '2 stalks celery, sliced ADVERTISEMENT', '1 tablespoon minced fresh ginger root ADVERTISEMENT', '1/2 teaspoon paprika ADVERTISEMENT', '3/4 teaspoon ground cumin ADVERTISEMENT', '1/2 teaspoon dried oregano ADVERTISEMENT', '1/4 teaspoon ground cayenne pepper ADVERTISEMENT', '1/4 teaspoon ground turmeric ADVERTISEMENT', '1 1/2 cups chicken broth ADVERTISEMENT', '1 cup crushed tomatoes ADVERTISEMENT', '1 cup canned chickpeas, drained ADVERTISEMENT', '1 zucchini, sliced ADVERTISEMENT', '1 tablespoon lemon juice ADVERTISEMENT', 'ADVERTISEMENT']","Season chicken with salt and brown in a large saucepan over medium heat until almost cooked through. Remove chicken from pan and set aside.
Saute onion, garlic, carrots and celery in same pan. When tender, stir in ginger, paprika, cumin, oregano, cayenne pepper and turmeric; stir fry for about 1 minute, then mix in broth and tomatoes. Return chicken to pan, reduce heat to low and simmer for about 10 minutes.
Add chickpeas and zucchini to pan and bring to simmering once again; cover pan and cook for about 15 minutes, or until zucchini is cooked through and tender. Stir in lemon juice and serve.
"
Make-Ahead Vegetarian Moroccan Stew,"['Spice Mixture: ADVERTISEMENT', '1 teaspoon ground cinnamon ADVERTISEMENT', '1 teaspoon ground cumin ADVERTISEMENT', '1 teaspoon kosher salt ADVERTISEMENT', '1/2 teaspoon ground ginger ADVERTISEMENT', '1/4 teaspoon ground cloves ADVERTISEMENT', '1/4 teaspoon ground nutmeg ADVERTISEMENT', '1/4 teaspoon ground turmeric ADVERTISEMENT', '1/8 teaspoon curry powder ADVERTISEMENT', 'Stew Vegetables: ADVERTISEMENT', '1 tablespoon butter ADVERTISEMENT', '1 sweet onion, chopped ADVERTISEMENT', '2 cups finely shredded kale ADVERTISEMENT', '4 (14 ounce) cans organic vegetable broth ADVERTISEMENT', '1 (15 ounce) can garbanzo beans, drained ADVERTISEMENT', '1 (14.5 ounce) can diced tomatoes, undrained ADVERTISEMENT', '3 large potatoes, peeled and diced ADVERTISEMENT', '2 sweet potatoes, peeled and diced ADVERTISEMENT', '4 large carrots, chopped ADVERTISEMENT', '1 cup dried lentils, rinsed ADVERTISEMENT', '1/2 cup chopped dried apricots ADVERTISEMENT', '1 tablespoon honey ADVERTISEMENT', '1 teaspoon ground black pepper, to taste ADVERTISEMENT', '1 tablespoon cornstarch (optional) ADVERTISEMENT', '1 tablespoon water (optional) ADVERTISEMENT', 'ADVERTISEMENT']","Combine cinnamon, cumin, salt, ginger, cloves, nutmeg, turmeric, and curry powder in a large bowl.
Melt butter in a large pot over medium heat. Cook the onion in the butter until soft and just beginning to brown, 5 to 10 minutes. Stir in kale and spice mixture; cook until kale begins to wilt and spices are fragrant, about 2 minutes.
Pour the vegetable broth into the pot. Stir garbanzo beans, tomatoes, potatoes, sweet potatoes, carrots, lentils, apricots, and honey, into the broth; bring to boil, reduce heat to low, and simmer until vegetables and lentils are cooked and tender, about 30 minutes. Season stew with black pepper.
Dissolve cornstarch in water; stir into stew and simmer thickened, about 5 minutes.
"
Moroccan Salmon Cakes with Garlic Mayonnaise,"['GARLIC MAYONNAISE: ADVERTISEMENT', '1/2 cup mayonnaise ADVERTISEMENT', '1 clove garlic, crushed ADVERTISEMENT', '1/8 teaspoon paprika ADVERTISEMENT', 'SALMON CAKES: ADVERTISEMENT', '1/2 cup couscous ADVERTISEMENT', '2/3 cup orange juice ADVERTISEMENT', '1 (14.75 ounce) can red salmon, drained ADVERTISEMENT', '1 (10 ounce) package frozen chopped spinach - thawed, drained and squeezed dry ADVERTISEMENT', '2 egg yolks, beaten ADVERTISEMENT', '2 cloves garlic, crushed ADVERTISEMENT', '1 teaspoon ground cumin ADVERTISEMENT', '1/2 teaspoon ground black pepper ADVERTISEMENT', '1/2 teaspoon salt ADVERTISEMENT', '3 tablespoons olive oil ADVERTISEMENT', 'ADVERTISEMENT']","In a small stainless steel or glass bowl, stir together mayonnaise, garlic, and paprika. Set aside.
Prepare couscous according to package directions using the 2/3 cup of orange juice in place of water.
In a mixing bowl, combine the cooked couscous, red salmon, drained spinach, egg yolks, garlic, cumin, black pepper, and salt. Form into patties.
In a large skillet over medium heat, heat the olive oil and fry patties until golden brown turning once, about 8 to 10 minutes. Serve with garlic mayonnaise.
"
Moroccan Chicken and Whole Grain Couscous,"['1 cup whole wheat couscous ADVERTISEMENT', '1 tablespoon vegetable oil ADVERTISEMENT', '1 medium onion, chopped ADVERTISEMENT', '2 bay leaves ADVERTISEMENT', '5 whole cloves, crushed ADVERTISEMENT', '1/2 teaspoon cinnamon ADVERTISEMENT', '1 teaspoon ground dried turmeric ADVERTISEMENT', '1/4 teaspoon ground cayenne pepper ADVERTISEMENT', '6 skinless, boneless chicken breast halves - chopped ADVERTISEMENT', '1 (16 ounce) can garbanzo beans ADVERTISEMENT', '1 (16 ounce) can crushed tomatoes ADVERTISEMENT', '1 (48 fluid ounce) can chicken broth ADVERTISEMENT', '2 carrots, cut into 1/2 inch pieces ADVERTISEMENT', '1 zucchini, cut into 1/2-inch pieces ADVERTISEMENT', 'salt to taste ADVERTISEMENT', 'ADVERTISEMENT']","Prepare the couscous according to package directions.
Heat the oil in a large pot over medium heat, and cook onion until tender. Mix in bay leaves, cloves, cinnamon, turmeric, and cayenne pepper. Place chicken in the pot, and cook until well browned. Pour garbanzo beans, tomatoes, and broth into the pot, and bring to a boil. Reduce heat to low, and simmer 25 minutes.
Mix carrots and zucchini into pot. Season with salt. Continue cooking 10 minutes, or until vegetables are tender. Serve stew over cooked couscous.
"
Moroccan Couscous,"['1 1/4 teaspoons ground cumin ADVERTISEMENT', '1/2 teaspoon ground ginger ADVERTISEMENT', '1/4 teaspoon ground cloves ADVERTISEMENT', '1/8 teaspoon ground cayenne pepper ADVERTISEMENT', '1/2 teaspoon ground cardamom ADVERTISEMENT', '1/4 teaspoon ground coriander ADVERTISEMENT', '1/4 teaspoon ground allspice ADVERTISEMENT', '1 tablespoon olive oil ADVERTISEMENT', '1 red onion, cut in half and thinly sliced ADVERTISEMENT', '1 red, green, or yellow bell pepper, cut into 1"" pieces ADVERTISEMENT', '2 zucchinis, halved lengthwise and cut into 3/4 inch pieces ADVERTISEMENT', '1/2 cup golden raisins ADVERTISEMENT', '1 teaspoon kosher salt ADVERTISEMENT', 'grated zest of one orange ADVERTISEMENT', '1 (14.5 ounce) can low sodium garbanzo beans, rinsed and drained ADVERTISEMENT', '1 1/2 cups chicken broth ADVERTISEMENT', '1/2 cup orange juice ADVERTISEMENT', '1 1/2 cups couscous ADVERTISEMENT', '3 tablespoons chopped fresh mint ADVERTISEMENT', 'ADVERTISEMENT']","Place a large, heavy bottomed pot over medium heat. Stir in the cumin, ginger, cloves, cayenne, cardamom, coriander, and allspice; gently toast until fragrant, about 2 to 3 minutes. Stir in oil and onion, cook until softened. Stir in the bell pepper, and zucchini; cook for 5 minutes. Stir in the raisins, salt, zest, and garbanzos.
Pour in the chicken broth and orange juice; turn heat to high and bring to a boil. When the mixture is boiling, stir in the couscous and remove from heat; cover, and let stand 5 minutes. Fluff with a fork, and fold in chopped mint.
"
Spanish Moroccan Fish,"['1 tablespoon vegetable oil ADVERTISEMENT', '1 medium onion, chopped ADVERTISEMENT', '1 clove garlic, finely chopped ADVERTISEMENT', '2 red bell pepper, seeded and sliced into strips ADVERTISEMENT', '1 large carrot, thinly sliced ADVERTISEMENT', '3 tomatoes, chopped ADVERTISEMENT', '4 olives, chopped ADVERTISEMENT', '1 (15 ounce) can garbanzo beans, drained and rinsed ADVERTISEMENT', '1/4 cup fresh parsley, chopped ADVERTISEMENT', '3 tablespoons paprika ADVERTISEMENT', '4 tablespoons ground cumin ADVERTISEMENT', '1 teaspoon cayenne pepper ADVERTISEMENT', '2 tablespoons chicken bouillon granules ADVERTISEMENT', 'Salt to taste ADVERTISEMENT', '5 pounds tilapia fillets ADVERTISEMENT', 'ADVERTISEMENT']","Heat the vegetable oil in a skillet over medium heat. Stir in the onion and garlic; cook and stir until the onion has softened and turned translucent, about 5 minutes. Add the bell peppers, carrots, tomatoes, olives, and garbanzo beans and continue to cook until the peppers are slightly tender, about 5 minutes more.
Sprinkle the parsley, paprika, cumin, cayenne, and chicken bouillon over the vegetables. Season with salt to taste. Stir to incorporate. Place the fish on top of the vegetables and add enough water to cover the vegetables. Reduce the heat to low, cover, and cook until fish flakes easily with a fork and juices run clear, about 40 minutes.
"
Sweet and Nutty Moroccan Couscous,"['2 cups vegetable broth ADVERTISEMENT', '5 tablespoons unsalted butter ADVERTISEMENT', '1/3 cup chopped dates ADVERTISEMENT', '1/3 cup chopped dried apricots ADVERTISEMENT', '1/3 cup golden raisins ADVERTISEMENT', '2 cups dry couscous ADVERTISEMENT', '3 teaspoons ground cinnamon ADVERTISEMENT', '1/2 cup slivered almonds, toasted ADVERTISEMENT', 'ADVERTISEMENT']","Pour the vegetable broth into a large saucepan, and bring to a boil. Add the butter, apricots, dates and raisins. Boil for 2 to 3 minutes. Remove from the heat, and stir in the couscous. Cover, and let stand for 5 minutes. Stir in the cinnamon and toasted almonds, and serve.
"
