title,ingredients,directions
Moroccan Lentil Stew,"[""1 (10 oz.) pkg. lentils"", ""4 to 5 potatoes, cut in bite size pieces (leave peels on)"", ""1 medium onion, chopped"", ""2 Tbsp. olive oil"", ""4 fresh tomatoes or may use 16 oz. can"", ""1/2 tsp. ground ginger"", ""1/2 tsp. turmeric"", ""1/2 tsp. black pepper"", ""3 to 4 carrots (optional)""]","[""Put package of lentils in a large pot and cover with water. Add potatoes and carrots if desired."", ""Add salt; cover and cook 20 minutes."", ""Then saute chopped onion in oil with chopped tomatoes. Add ginger, turmeric and black pepper and continue to cook until onion is translucent and spices are well mixed."", ""Add this mixture to the cooked lentils and continue to simmer the stew gently for another 20 minutes.""]"
Moroccan Chicken And Couscous Casserole,"[""2 lb. cut-up frying chickens"", ""1 large sweet Spanish onion"", ""5 Tbsp. chopped dried mixed fruit or raisins"", ""1 c. couscous"", ""1/2 c. orange juice"", ""1/2 c. water or fat-skimmed chicken broth"", ""2 tsp. cumin seed or 1 tsp. ground cumin"", ""1/2 tsp. ground cinnamon or apple pie spice"", ""salt and pepper to taste""]","[""Broil chicken, skin side up, to brown the skin and melt the fat."", ""Combine remaining ingredients in a casserole."", ""Arrange chicken pieces, skin side up, on top."", ""Cover casserole with lid or foil.""]"
Coconut Squares(A Moroccan Taste Treat.)  ,"[""2 c grated coconut"", ""3/4 c half & half"", ""1 1/2 c sugar"", ""3 Tbsp butter"", ""3 Tbsp lemon rind""]","[""Combine the coconut, half and half and the sugar in a heavy saucepan. Bring to a boil, then heat to low. Simmer until a soft ball is formed when a spoon full is dropped into cold water. Add the butter and lemon rind and mix. Let cool to room temperature. Transfer to a bowl and with an electric mixer, mix the batter until thick"", ""and glossy. Pour into a small buttered pan and chill. Cut into squares and serve.""]"
Moroccan Lamb Pies,"[""1/2 lb. cooked, ground lamb"", ""1 Tbsp. oil"", ""1 stick (4 oz.) butter"", ""1/2 small onion, minced"", ""1/2 tsp. ground cumin"", ""1/2 c. slivered almonds"", ""2 tsp. honey"", ""1 handful golden raisins"", ""salt and pepper"", ""8 sheets phyllo dough""]","[""Melt butter, add onion and cook gently until soft."", ""Stir in cumin and almonds, and continue to cook until almonds are browned a little."", ""Add honey and raisins."", ""Drain mixture on paper towels. Mix with lamb."", ""Add salt and pepper.""]"
Moroccan Carrot Salad,"[""2 lb. carrots, steamed and torn into bite size pieces"", ""1/3 c. lemon juice"", ""2 Tbsp. olive juice"", ""2 tsp. finely chopped fresh parsley"", ""1 tsp. paprika"", ""1/2 tsp. ground cumin"", ""1/2 tsp. asafetida or 2 cloves garlic, crushed"", ""1/2 tsp. spike or other vegetable seasoned salt"", ""1/4 tsp. cinnamon"", ""1/4 tsp. honey""]","[""Scrub carrots well and cut tops and tips off. Steam carrots in a steamer until they can be cut easily with a spoon. Remove from heat and take 2 forks to break carrots crosswise into bite size pieces. Add the next 9 ingredients and toss until thoroughly mixed. Cover and refrigerate overnight or at least 3 to 4 hours before serving."", ""Makes about 3 to 4 cups of salad which, if served by itself as a salad or meal along with the Moroccan bread, serves 3 to 4 people.""]"
Chicken With Olives And Lemons(A Popular Moroccan Tejine)  ,"[""1/3 c. olive oil"", ""1 large onion, thinly sliced"", ""1 clove garlic, minced or mashed"", ""1 Tbsp. fresh parsley, finely chopped"", ""1 Tbsp. fresh cilantro, finely chopped (optional)"", ""1 tsp. salt"", ""1/2 tsp. black pepper, coarsely ground"", ""dash of powdered saffron"", ""2 1/2 lb. chicken breasts, cut into serving pieces"", ""1/2 lemon, cut into 4 wedges or smaller sizes"", ""1/3 c. green olives""]","[""Heat oil in a large heatproof casserole or Dutch oven."", ""Stir in next 7 ingredients."", ""Add chicken pieces and turn to coat with onion mixture. Arrange lemon wedges over the top."", ""Cover and simmer until very tender, about 1 1/2 to 2 hours."", ""Turn occasionally."", ""Remove chicken to serving platter."", ""Arrange lemon wedges on top and keep warm. Cook liquid, stirring, in casserole over high heat until reduced to a thick sauce."", ""Add olives and heat through. Pour over chicken."", ""Serves 6 to 8.""]"
Moroccan-Style Salmon With Tomato Sauce,"[""1 small onion, sliced"", ""2 garlic cloves, minced"", ""1 Tbsp. olive oil or cooking spray plus 1 tsp. olive oil"", ""1 (28 oz.) can coarsely chopped tomatoes"", ""4 tsp. honey"", ""1 tsp. grated lemon peel"", ""3/4 tsp. ground cumin"", ""1 1/2 tsp. lemon juice"", ""salt, pepper and cayenne pepper to taste"", ""6 (4 to 6 oz.) salmon fillets (or 1 large fillet, cut into 4 pieces after it is cooked)"", ""2 Tbsp. chopped toasted almonds"", ""2 Tbsp. chopped fresh cilantro"", ""3 c. cooked couscous or rice""]","[""Saute onion and garlic in stick-free medium skillet with cooking spray and olive oil, over medium heat, until golden."", ""Stir in tomatoes (liquid included), honey, lemon peel and cumin. Simmer 10 to 15 minutes or until slightly thick."", ""Meanwhile, season salmon with a trace of salt, pepper, paprika and 2 tablespoons lemon juice."", ""Bake at 350\u00b0 for 25 minutes, then broil for 10 minutes or until lightly brown on top.""]"
Moroccan Carrots,"[""1 lb. carrots"", ""1 1/2 Tbsp. butter"", ""1/4 c. slivered almonds"", ""1 Tbsp. sugar"", ""1/8 tsp. ground coriander"", ""1/8 tsp. cinnamon"", ""1/4 tsp. cumin"", ""pinch of cayenne pepper"", ""salt""]","[""Slice carrots and cook in boiling salted water until tender, about 20 minutes."", ""Drain."", ""Melt butter in the hot pot."", ""Add almonds and cook over medium-low heat, stirring, until light gold, about 3 minutes."", ""Add carrots, cinnamon, cumin, cayenne and 1 teaspoon salt. Cook, stirring, over low heat until most of the liquid has evaporated and carrots are shiny and glazed, about 3 to 5 minutes.""]"
Curried Moroccan Muffins,"[""6 whole wheat English muffins"", ""2 c. chopped ripe olives"", ""2 c. grated sharp cheese"", ""4 green onions, chopped"", ""1 c. mayonnaise"", ""3/4 tsp. curry powder""]","[""Cut muffins in 4 pieces."", ""Mix ingredients and spread on muffins."", ""Bake at 375\u00b0 until bubbly.""]"
Moroccan Chicken(4 To 6 Servings)  ,"[""1 (2 1/2 to 3 1/2 lb.) chicken, cut up"", ""1 c. onions, chopped"", ""2 c. carrots, sliced"", ""3/4 c. chicken broth"", ""1 Tbsp. lemon juice"", ""2 tsp. lemon rind, grated"", ""1 tsp. paprika"", ""1/2 tsp. ginger"", ""1/4 tsp. turmeric"", ""1/8 tsp. cinnamon"", ""3 c. rice, cooked""]","[""In 3-quart casserole, place chicken with meaty portions along outside of dish."", ""Add onions and carrots."", ""Combine broth, lemon juice, lemon rind, paprika, ginger, turmeric and cinnamon."", ""Pour over chicken; cover."", ""Microwave at High power 22 to 27 minutes, until chicken is done and vegetables are tender; rotate dish 1/2 turn after 10 minutes."", ""Serve over rice.""]"
