ingredients,instructions,title
"['1 cup (8 ounces) Greek-style yogurt*', '1 tablespoon extra-virgin olive oil', '1 teaspoon harissa sauce**', '1 garlic clove, minced', 'Coarse kosher salt', 'Coarse kosher salt', '1 pound carrots, peeled, cut into 1/2-to 3/4-inch pieces', '1 3/4-pound turnip, peeled, cut into 1/2-to 3/4-inch pieces', '3 tablespoons butter', '1/2 pound spring onions or green onions, coarsely chopped (about 1 3/4 cups)', '2 tablespoons chopped fresh Italian parsley', '2 tablespoons chopped fresh mint', '2 garlic cloves, minced', '1 teaspoon paprika', '1 teaspoon ground cumin', '1/2 teaspoon ground coriander', '1/2 cup dry white wine', '2 teaspoons all purpose flour', '1 15-ounce can garbanzo beans (chickpeas), drained, rinsed', '1 5-ounce bag baby spinach', '1 to 3 teaspoons fresh lemon juice']","For yogurt sauce: Whisk first 4 ingredients in medium bowl. Season to taste with coarse salt and pepper. DO AHEAD: Can be made 2 days ahead. Cover and chill.
Whisk first 4 ingredients in medium bowl. Season to taste with coarse salt and pepper. DO AHEAD: Can be made 2 days ahead. Cover and chill.
For vegetable stew: Bring 8 cups water to boil in heavy large saucepan. Sprinkle with coarse salt. Add carrots; cook until just tender, about 4 minutes. Using skimmer or large slotted spoon, transfer carrots to large bowl of ice water. Return water to boil. Add turnip; cook until just tender, about 3 minutes. Using skimmer, transfer turnip to bowl with carrots. Reserve cooking liquid. Melt butter in heavy large pot over medium heat. Add next 7 ingredients. Sprinkle with coarse salt and pepper. Cook until onions are soft, stirring often, about 8 minutes. Add wine; simmer until reduced by half, about 5 minutes. Stir in flour. Add carrots, turnip, beans, spinach, and 2 cups reserved cooking liquid. Bring to simmer; cook until vegetables are heated through, adding more cooking liquid for desired consistency. Season stew to taste with coarse salt, pepper, and lemon juice. Divide stew among bowls. Spoon dollop of yogurt sauce over and serve.
Bring 8 cups water to boil in heavy large saucepan. Sprinkle with coarse salt. Add carrots; cook until just tender, about 4 minutes. Using skimmer or large slotted spoon, transfer carrots to large bowl of ice water. Return water to boil. Add turnip; cook until just tender, about 3 minutes. Using skimmer, transfer turnip to bowl with carrots. Reserve cooking liquid.
Melt butter in heavy large pot over medium heat. Add next 7 ingredients. Sprinkle with coarse salt and pepper. Cook until onions are soft, stirring often, about 8 minutes. Add wine; simmer until reduced by half, about 5 minutes. Stir in flour. Add carrots, turnip, beans, spinach, and 2 cups reserved cooking liquid. Bring to simmer; cook until vegetables are heated through, adding more cooking liquid for desired consistency. Season stew to taste with coarse salt, pepper, and lemon juice.
Divide stew among bowls. Spoon dollop of yogurt sauce over and serve.
A thick yogurt; sold at some supermarkets and at specialty foods stores (such as Trader Joe's and Whole Foods markets) and Greek markets. If unavailable, place regular yogurt in cheesecloth-lined strainer set over large bowl. Cover and chill overnight to drain. ** A spicy North African red chile paste; available at some specialty foods stores and at Middle Eastern markets.
A thick yogurt; sold at some supermarkets and at specialty foods stores (such as Trader Joe's and Whole Foods markets) and Greek markets. If unavailable, place regular yogurt in cheesecloth-lined strainer set over large bowl. Cover and chill overnight to drain.
A thick yogurt; sold at some supermarkets and at specialty foods stores (such as Trader Joe's and Whole Foods markets) and Greek markets. If unavailable, place regular yogurt in cheesecloth-lined strainer set over large bowl. Cover and chill overnight to drain.
** A spicy North African red chile paste; available at some specialty foods stores and at Middle Eastern markets.",Moroccan-Style Vegetable Stew with Harissa Yogurt Sauce 
"['1 1 1/2-pound piece butterflied boneless leg of lamb, trimmed', '2 tablespoons olive oil, divided', '1/2 cup dry red wine', '6 tablespoons fresh orange juice', '1 tablespoon grated peeled fresh ginger', '2 teaspoons finely grated orange peel', '2 teaspoons ground cumin', '1 teaspoon ground coriander', '1 teaspoon ground cinnamon', '4 tablespoons chopped fresh cilantro, divided', '2 cups chopped red onions', '6 garlic cloves, chopped', '2 15 1/2-ounce cans garbanzo beans (chickpeas), rinsed, drained', '1 cup low-salt chicken broth']","Place lamb in shallow bowl or glass baking dish; coat with 1 tablespoon oil. Add wine, orange juice, ginger, and orange peel to bowl. Mix to coat. Mix cumin, coriander, and cinnamon in small bowl. Sprinkle spice mixture over lamb, turning to coat evenly. Sprinkle with 2 tablespoons cilantro. Cover and marinate at room temperature 1 hour or chill up to 4 hours. Preheat oven to 400°F. Heat 1 tablespoon oil in large ovenproof skillet over medium-high heat. Remove lamb from marinade, reserving marinade. Add lamb to skillet; sprinkle with salt and pepper. Cook until light brown, about 3 minutes per side. Push lamb to 1 side of skillet. Add onions and garlic to skillet; sauté until onions are light brown, about 3 minutes. Pour reserved marinade over lamb. Transfer to oven; roast until instant-read thermometer inserted into center registers 130°F for medium-rare, about 15 minutes. Remove lamb from pan, reserving onions and garlic in skillet. Let lamb rest 5 minutes. Slice lamb, transfer to platter, and tent with foil to keep warm. Place garbanzo beans and broth in medium saucepan; simmer over medium heat 10 minutes. Using slotted spoon, add onions and garlic from skillet to garbanzo bean mixture. Stir; simmer 5 minutes. Remove from heat; add 2 tablespoons cilantro. Using potato masher, mash to coarse puree. Season with salt and pepper. Place scoop of garbanzo bean mash on each plate. Top with lamb slices. Drizzle with juices from skillet and serve.
Place lamb in shallow bowl or glass baking dish; coat with 1 tablespoon oil. Add wine, orange juice, ginger, and orange peel to bowl. Mix to coat. Mix cumin, coriander, and cinnamon in small bowl. Sprinkle spice mixture over lamb, turning to coat evenly. Sprinkle with 2 tablespoons cilantro. Cover and marinate at room temperature 1 hour or chill up to 4 hours.
Preheat oven to 400°F. Heat 1 tablespoon oil in large ovenproof skillet over medium-high heat. Remove lamb from marinade, reserving marinade. Add lamb to skillet; sprinkle with salt and pepper. Cook until light brown, about 3 minutes per side. Push lamb to 1 side of skillet. Add onions and garlic to skillet; sauté until onions are light brown, about 3 minutes. Pour reserved marinade over lamb. Transfer to oven; roast until instant-read thermometer inserted into center registers 130°F for medium-rare, about 15 minutes. Remove lamb from pan, reserving onions and garlic in skillet. Let lamb rest 5 minutes. Slice lamb, transfer to platter, and tent with foil to keep warm.
Place garbanzo beans and broth in medium saucepan; simmer over medium heat 10 minutes. Using slotted spoon, add onions and garlic from skillet to garbanzo bean mixture. Stir; simmer 5 minutes. Remove from heat; add 2 tablespoons cilantro. Using potato masher, mash to coarse puree. Season with salt and pepper.
Place scoop of garbanzo bean mash on each plate. Top with lamb slices. Drizzle with juices from skillet and serve.",Moroccan Lamb with Garbanzo Bean Mash 
"['4 garlic cloves, finely chopped', 'Kosher salt', '1/3 cup olive oil', '3 tablespoons plain yogurt', '2 pounds skinless, boneless chicken thighs, cut into 2"" pieces', '2 garlic cloves, chopped', '1/2 cup finely chopped fresh flat-leaf parsley', '2 teaspoons ground cumin', '2 teaspoons paprika', '1/4 teaspoon crushed red pepper flakes', 'Kosher salt', 'Vegetable oil (for grilling)', 'Warm pita bread, labneh (Lebanese strained yogurt),chopped tomatoes, and fresh mint leaves (for serving)', 'special equipment: Sixteen 8"" bamboo or metal skewers']","Garlic Sauce: Place garlic in a mortar; season with salt and pound to a very fine paste. (Alternatively, place garlic on a cutting board, season with salt, and mash with the side of a chef's knife.) Transfer garlic paste to a small bowl and gradually whisk in oil. Very gradually whisk yogurt into garlic mixture until emulsified. (Add too fast and sauce will break. If it does break, gradually whisk in 1 teaspoon water just before serving.) Do ahead: Garlic sauce can be made 6 hours ahead. Cover and chill.
Place garlic in a mortar; season with salt and pound to a very fine paste. (Alternatively, place garlic on a cutting board, season with salt, and mash with the side of a chef's knife.) Transfer garlic paste to a small bowl and gradually whisk in oil.
Very gradually whisk yogurt into garlic mixture until emulsified. (Add too fast and sauce will break. If it does break, gradually whisk in 1 teaspoon water just before serving.)
Do ahead: Garlic sauce can be made 6 hours ahead. Cover and chill.
Chicken: Toss chicken, garlic, parsley, cumin, paprika, and red pepper flakes in a medium bowl; season with salt. Cover and chill at least 2 hours. Prepare grill for medium-high heat and oil grate. Thread chicken onto skewers. Grill, turning occasionally, until cooked through, 8-12 minutes. Serve with garlic sauce, pita bread, labneh, tomatoes, and mint. Do ahead: Chicken can be marinated 12 hours ahead. Keep chilled.
Toss chicken, garlic, parsley, cumin, paprika, and red pepper flakes in a medium bowl; season with salt. Cover and chill at least 2 hours.
Prepare grill for medium-high heat and oil grate. Thread chicken onto skewers. Grill, turning occasionally, until cooked through, 8-12 minutes. Serve with garlic sauce, pita bread, labneh, tomatoes, and mint.
Do ahead: Chicken can be marinated 12 hours ahead. Keep chilled.",Moroccan Chicken Brochettes 
"['2 cups green olives (with pits) in brine (10 ounces), such as picholine or Cerignola, lightly smashed to crack open slightly', '4 garlic cloves, sliced', '1/4 cup extra-virgin olive oil', '2 teaspoons tomato paste', '1/3 cup water', '2 teaspoons harissa (North African spice paste)', '3 (4-to 5-inch) thyme sprigs', '2 thin lemon slices']","Cover olives with water in a small saucepan and bring to a boil, then drain. Cook garlic in oil in a 10-inch heavy skillet over medium heat until garlic is golden, about 2 minutes. Add tomato paste and cook, stirring, 1 minute. Stir in water, harissa, thyme, and olives and simmer briskly, stirring occasionally, until liquid is thickened and coats olives, about 5 minutes. Remove from heat and stir in lemon slices. Transfer to a shallow dish and marinate, chilled, at least 24 hours.
Cover olives with water in a small saucepan and bring to a boil, then drain.
Cook garlic in oil in a 10-inch heavy skillet over medium heat until garlic is golden, about 2 minutes. Add tomato paste and cook, stirring, 1 minute. Stir in water, harissa, thyme, and olives and simmer briskly, stirring occasionally, until liquid is thickened and coats olives, about 5 minutes. Remove from heat and stir in lemon slices. Transfer to a shallow dish and marinate, chilled, at least 24 hours.
What to drink: Yarden Galilee Cabernet Sauvignon '05
Yarden Galilee Cabernet Sauvignon '05",Moroccan Spiced Olives 
"['1 teaspoon ground cumin', '1 teaspoon ground coriander', '1/2 teaspoon ground cinnamon', '2 tablespoons olive oil, divided', '1/2 cup chopped onion', '2 1/2 cups (or more) vegetable broth', '1 cup red lentils,* rinsed', '1/4 cup chopped fresh cilantro plus additional for sprinkling', '1 1/2 pounds sea scallops, patted dry']","Mix first 3 ingredients in small bowl. Heat 1 tablespoon oil in heavy medium saucepan over medium-high heat. Add onion and sauté until translucent, about 4 minutes. Add 2 teaspoons spice mixture and sauté 30 seconds. Stir in 21/2 cups vegetable broth and lentils. Bring to boil; reduce heat to medium and simmer until lentils are tender, adding more broth by tablespoonfuls if dry and stirring occasionally, about 10 minutes. Stir in 1/4 cup cilantro; season to taste with salt and pepper. Meanwhile, heat 1 tablespoon oil in heavy large skillet over high heat. Sprinkle scallops with salt, pepper, and remaining spice mixture; add to skillet and cook until browned on both sides and just opaque in centers, about 2 minutes per side. Top lentil mixture with scallops and sprinkle with additional cilantro.
Mix first 3 ingredients in small bowl. Heat 1 tablespoon oil in heavy medium saucepan over medium-high heat. Add onion and sauté until translucent, about 4 minutes. Add 2 teaspoons spice mixture and sauté 30 seconds. Stir in 21/2 cups vegetable broth and lentils. Bring to boil; reduce heat to medium and simmer until lentils are tender, adding more broth by tablespoonfuls if dry and stirring occasionally, about 10 minutes. Stir in 1/4 cup cilantro; season to taste with salt and pepper.
Meanwhile, heat 1 tablespoon oil in heavy large skillet over high heat. Sprinkle scallops with salt, pepper, and remaining spice mixture; add to skillet and cook until browned on both sides and just opaque in centers, about 2 minutes per side. Top lentil mixture with scallops and sprinkle with additional cilantro.
Also known as masoor dal; sold at some supermarkets and at natural foods stores and Indian markets. If unavailable, use green lentils and increase cooking time to about 30 minutes.
Also known as masoor dal; sold at some supermarkets and at natural foods stores and Indian markets. If unavailable, use green lentils and increase cooking time to about 30 minutes.
Also known as masoor dal; sold at some supermarkets and at natural foods stores and Indian markets. If unavailable, use green lentils and increase cooking time to about 30 minutes.",Moroccan-Spiced Scallops with Lentils 
"['4 skinless boneless chicken breast halves', '2 tablespoons olive oil', '1 3/4 cups chopped onions', '2 large garlic cloves, chopped', '1 tablespoon all purpose flour', '1 teaspoon ground ginger', '1 teaspoon ground cinnamon', '1 teaspoon ground cumin', '2 cups canned low-salt chicken broth', '1 cup pitted prunes', '3 tablespoons fresh lemon juice', '2 tablespoons honey', 'Chopped fresh cilantro']","Sprinkle chicken with salt and pepper. Heat oil in heavy large skillet over medium-high heat. Add chicken; sauté until brown and just cooked through, about 4 minutes per side. Using tongs, transfer chicken to plate. Add onions and garlic to same skillet. Sauté until onions begin to soften, about 3 minutes. Mix in flour, ginger, cinnamon and cumin; stir 1 minute. Gradually whisk in broth. Add prunes, lemon juice and honey. Boil until sauce thickens enough to coat spoon, whisking occasionally, about 8 minutes. Return chicken to skillet. Simmer until heated through, about 2 minutes. Season with salt and pepper.
Sprinkle chicken with salt and pepper. Heat oil in heavy large skillet over medium-high heat. Add chicken; sauté until brown and just cooked through, about 4 minutes per side. Using tongs, transfer chicken to plate. Add onions and garlic to same skillet. Sauté until onions begin to soften, about 3 minutes. Mix in flour, ginger, cinnamon and cumin; stir 1 minute. Gradually whisk in broth. Add prunes, lemon juice and honey. Boil until sauce thickens enough to coat spoon, whisking occasionally, about 8 minutes. Return chicken to skillet. Simmer until heated through, about 2 minutes. Season with salt and pepper.
Transfer chicken and sauce to platter. Sprinkle with cilantro and serve.
Transfer chicken and sauce to platter. Sprinkle with cilantro and serve.",Spiced Moroccan Chicken with Onions and Prunes 
"['2 5-ounce 1-inch-thick halibut fillets', '1/4 teaspoon (generous) ground cinnamon', '1/4 teaspoon (generous) cayenne pepper', '2 tablespoons (1/4 stick) butter, divided', '1 cup 1/4 x 1/4 x 2 1/2-inch sticks peeled carrots (cut from 2 large)', '1 tablespoon fresh lemon juice', '3/4 teaspoon finely grated lemon peel', '2 tablespoons thinly sliced fresh mint']","Sprinkle both sides of fish with salt and freshly ground black pepper, then with half of cinnamon and cayenne. Melt 1 tablespoon butter in heavy medium skillet over mediumhigh heat. Add fish. Sauté until brown and just opaque in center, 4 to 5 minutes per side. Transfer fish to plates. Remove skillet from heat and wipe out. Add remaining 1 tablespoon butter, carrots, lemon juice, and lemon peel. Sprinkle with salt, pepper, and remaining cinnamon and cayenne. Toss to blend. Cover and cook over medium-low heat until carrots are just tender, about 5 minutes. Mix in mint. Mound carrots on fish and serve. 30-minute dinner
Sprinkle both sides of fish with salt and freshly ground black pepper, then with half of cinnamon and cayenne. Melt 1 tablespoon butter in heavy medium skillet over mediumhigh heat. Add fish. Sauté until brown and just opaque in center, 4 to 5 minutes per side. Transfer fish to plates. Remove skillet from heat and wipe out. Add remaining 1 tablespoon butter, carrots, lemon juice, and lemon peel. Sprinkle with salt, pepper, and remaining cinnamon and cayenne. Toss to blend. Cover and cook over medium-low heat until carrots are just tender, about 5 minutes. Mix in mint. Mound carrots on fish and serve. 30-minute dinner",Moroccan Halibut and Carrots 
"['3 tablespoons olive oil, divided', '1 3/4 pounds beef tenderloin, cut into 1-inch cubes', '1 large onion, chopped', '1 large carrot, chopped', '2 garlic cloves, chopped', '1 tablespoon paprika', '2 teaspoons ground cumin', '1 1/2 teaspoons ground cinnamon', '2 cups beef broth', '1/2 cup halved pitted Kalamata olives', '1/2 cup golden raisins', '1 15-ounce can garbanzo beans (chickpeas), drained', '1/2 cup chopped fresh cilantro', '1 teaspoon lemon peel']","Heat 2 tablespoons oil in heavy large saucepan over medium-high heat. Sprinkle beef with salt and pepper. Working in batches, add beef to pan and brown on all sides, about 3 minutes per batch. Transfer to plate. Add remaining 1 tablespoon oil, onion, carrot, and garlic to pan. Cook until vegetables are soft, stirring frequently, about 10 minutes. Add spices; stir 1 minute. Add broth, olives, raisins, garbanzo beans, and cilantro; bring to boil. Simmer until juices thicken, about 5 minutes. Add beef and any accumulated juices and lemon peel to pan. Stir to warm through and serve.
Heat 2 tablespoons oil in heavy large saucepan over medium-high heat. Sprinkle beef with salt and pepper. Working in batches, add beef to pan and brown on all sides, about 3 minutes per batch. Transfer to plate. Add remaining 1 tablespoon oil, onion, carrot, and garlic to pan. Cook until vegetables are soft, stirring frequently, about 10 minutes. Add spices; stir 1 minute. Add broth, olives, raisins, garbanzo beans, and cilantro; bring to boil. Simmer until juices thicken, about 5 minutes. Add beef and any accumulated juices and lemon peel to pan. Stir to warm through and serve.",Moroccan Beef Stew 
"['1 tablespoon paprika', '1/2 teaspoon ground cumin', '1/4 teaspoon ground allspice', '1/4 teaspoon cinnamon', '1 medium eggplant (about 1 pound), cut into 1-inch cubes', '1 small red bell pepper, cut into 1/2-inch pieces', '1 small yellow bell pepper, cut into 1/2-inch pieces', '1 onion, chopped', '2 garlic cloves, chopped', '1 cup water', '3 tablespoons fresh lemon juice', '2 tablespoon sugar', '1 medium zucchini, cut into 3/4-inch cubes', '10 ounces Italian bread (about a 17- by 3 1/2-inch loaf)', '1/2 cup packed fresh basil leaves, washed well and spun dry.']","Make caponata: In a large heavy saucepan toast spices over moderate heat, stirring constantly, until fragrant, about 1 minute. Stir in eggplant, bell peppers, onion, garlic, water, lemon juice, sugar, and salt and pepper to taste and simmer, covered, stirring occasionally, about 10 minutes, or until eggplant is almost tender. Stir in zucchini and simmer uncovered, until vegetables are tender and most liquid is evaporated, about 5 minutes. Cool caponata slightly and transfer to a bowl. Chill caponata, covered, until cold, about 2 hours. Caponata may be made 3 days ahead and chilled, covered. Halve bread horizontally with a serrated knife and make 1 large hero with caponata and basil. Cut hero into 4 pieces.
In a large heavy saucepan toast spices over moderate heat, stirring constantly, until fragrant, about 1 minute. Stir in eggplant, bell peppers, onion, garlic, water, lemon juice, sugar, and salt and pepper to taste and simmer, covered, stirring occasionally, about 10 minutes, or until eggplant is almost tender. Stir in zucchini and simmer uncovered, until vegetables are tender and most liquid is evaporated, about 5 minutes. Cool caponata slightly and transfer to a bowl. Chill caponata, covered, until cold, about 2 hours. Caponata may be made 3 days ahead and chilled, covered.
Halve bread horizontally with a serrated knife and make 1 large hero with caponata and basil. Cut hero into 4 pieces.",Moroccan-Spiced Caponata and Basil Hero 
"['1 cup (250 ml) vegetable broth made from bouillon', '1/3 cup (80 ml) olive oil', '1 onion, chopped', '1 clove garlic, crushed', '1 sweet potato, diced', '1 cup (250 ml) dried green beans', '1 red pepper, chopped', '1/2 cup (125 ml) soy chunks', '28 oz can (796 ml) diced tomatoes', '1/2 tsp (2 ml) thyme', '1/4 tsp (1 ml) ginger, ground', '1/4 tsp (1 ml) nutmeg, ground', '1/4 tsp (1 ml) cinnamon, ground', '3 cloves', 'pinch chili flakes', '1/2 cup (125 ml) prunes, pitted and halved', '1/3 cup (80 ml) dried apricots, diced', '8 oz can (250 ml) artichoke hearts, reserve juice', '1/2 cup (125 ml) black olives, pitted', '3 tbsp (45 ml) brown sugar', 'pinch saffron', '1/2 lemon, juiced', '1 cup (250 ml) slivered almonds, toasted', '3 cups (750 ml) couscous', '4 1/2 cups (1125 ml) boiling water']","Method 1. In the wok, heat the oil and sauté the onion and garlic. 2. Add the sweet potatoes, beans, red peppers, soy chunks, tomatoes and all the spices except for the saffron and cook at a high temperature for 5 minutes, stirring frequently. 3. Add the vegetable stock, prunes, apricots and the liquid from the artichokes. 4. Cover and simmer for 20 minutes or until the vegetables are tender. 5. Stir in the artichokes, olives, brown sugar and saffron. Simmer for another 5 to 10 minutes. 6. While you are waiting, toast the almonds in a dry frying pan. 7. In a separate stainless steel bowl, pour 3 1/2 cups (875 ml) of boiling water over the couscous and let it stand for 5 minutes. 8. Fluff the couscous with a fork. 9. Serve the stew over the couscous and garnish with toasted almonds.
1. In the wok, heat the oil and sauté the onion and garlic.
2. Add the sweet potatoes, beans, red peppers, soy chunks, tomatoes and all the spices except for the saffron and cook at a high temperature for 5 minutes, stirring frequently.
3. Add the vegetable stock, prunes, apricots and the liquid from the artichokes.
4. Cover and simmer for 20 minutes or until the vegetables are tender.
5. Stir in the artichokes, olives, brown sugar and saffron. Simmer for another 5 to 10 minutes.
6. While you are waiting, toast the almonds in a dry frying pan.
7. In a separate stainless steel bowl, pour 3 1/2 cups (875 ml) of boiling water over the couscous and let it stand for 5 minutes.
8. Fluff the couscous with a fork.
9. Serve the stew over the couscous and garnish with toasted almonds.",Rockin' Moroccan Stew 
