instructions,ingredients,title
"Combine the squash, turnip, leek and raisins in a 6-quart slow cooker. Season the chicken with salt and pepper and place on top of the vegetables.
Whisk the chicken broth, tomato paste, cumin, coriander, turmeric, lemon zest and juice, and 1 teaspoon salt in a large bowl. Pour the mixture over the chicken and vegetables. Cover and cook on high, 4 hours.
Serve the chicken and vegetables with couscous; drizzle with some of the cooking liquid. Top with cilantro.
Photograph by Christopher Testani","['8 ounces butternut squash, peeled and cut into large chunks (about 2 cups)', '1 large turnip, peeled and cut into large chunks (about 2 cups)', '1 leek (white and light green parts only), chopped', '1/2 cup golden raisins', '4 skin-on, bone-in chicken legs (3 to 4 pounds), drumsticks and thighs attached', 'Kosher salt and freshly ground pepper', '3 cups low-sodium chicken broth', '2 tablespoons tomato paste', '1 teaspoon ground cumin', '1 teaspoon ground coriander', '1/2 teaspoon turmeric', 'Grated zest and juice of 1 lemon', 'Couscous, for serving', 'Fresh cilantro, for topping']",Moroccan Chicken and Squash
"Preheat the oven to 400 degrees F.
Score the fish with a paring knife by making several 1-inch slits in the skin on each side, being careful not to cut in too deep. Put the fish on a dish and drizzle with the lemon juice and 1/2 of the oil. Press the garlic into the score marks. Rub the spice mix all over the inside and outside of the fish. Cover with plastic wrap, and allow it to marinate in the fridge for one hour. Heat a skillet large enough to hold the whole fish over high heat until it is almost smoking. Carefully pour the remaining oil into the pan and let it heat. Place the fish in the pan, sear it well on both sides, and then place it in the oven for about 7 minutes, or until the fish flakes easily. Transfer the fish to a serving platter.
Combine all ingredients in a small bowl.","['1 to 2 pounds whole white fish', '1 lemon, juiced', '1/4 cup olive oil', '2 garlic cloves, chopped', '4 tablespoons Moroccan Spice mix, recipe follows', '1 tablespoon ground cumin', '1 tablespoon ground coriander', '1 teaspoon ground cloves', '1 teaspoon ground cinnamon', '1 teaspoon ground nutmeg', '1 tablespoon paprika', '1 teaspoon turmeric', '1 teaspoon ground ginger', '1 tablespoon sugar', '2 tablespoons kosher salt', '2 tablespoons freshly ground black pepper']",Moroccan Spiced White Fish
"Cut the steak in half lengthwise; slice each piece in half horizontally to make 4 thin steaks. Season with salt and pepper and rub all over with the ras el hanout; set aside.
Bring 2 cups chicken broth to a boil in a medium saucepan; add 1/2 teaspoon salt. Add the couscous and cook as the label directs.
Meanwhile, heat 2 tablespoons olive oil in a large nonstick skillet over medium-high heat. Add the steaks and cook until browned, 4 to 5 minutes per side for medium rare. Remove from the skillet; cover to keep warm.
Add the remaining 1 teaspoon olive oil and the red onion to the skillet. Cook, stirring occasionally, until softened, about 4 minutes. Add the olives, orange juice and honey. Cook, scraping up any browned bits from the bottom of the pan, until slightly reduced, about 30 seconds. Add the remaining 1/2 cup chicken broth. Bring to a simmer and cook until slightly thickened, about 2 minutes. Remove from the heat and stir in the parsley; season with salt.
Stir the tomatoes and orange zest into the couscous. Slice the steak and top with the olive-onion mixture. Serve with the couscous.
Photograph by Ryan Dausch","['1 small flank steak (about 1 1/2 pounds)', 'Kosher salt and freshly ground pepper', '2 teaspoons ras el hanout (Moroccan seasoning) or pumpkin pie spice', '2 1/2 cups low-sodium chicken broth', '1 1/2 cups Israeli couscous', '2 tablespoons plus 1 teaspoon extra-virgin olive oil', '1 red onion, thinly sliced', '1/3 cup pitted black olives, roughly chopped', '1/2 teaspoon finely grated orange zest, plus the juice of 1 orange', '1 tablespoon honey', '2 tablespoons chopped fresh parsley', '1 cup grape or cherry tomatoes, halved']",Moroccan Flank Steak
"In a large pot bring all ingredients to a boil, except food coloring. Remove from heat and allow to steep for 10 minutes. Strain and add coloring. Freeze with a metal whisk in mixture. During freezing, whisk periodically to add iciness and a grainy texture to the granita","[""6 teaspoons Moroccan tea** (See Cook's Note)"", '1 1/2 teaspoons orange blossom water**', '3 bunches fresh mint', '2 cups sugar', '1/2 cup honey', '4 quarts water', '2 drops green food coloring']",Moroccan Mint Tea Granita
"Split the squash in half and remove the seeds and fibers. Brush the flesh with 1 tablespoon of olive oil and sprinkle with cinnamon, salt and pepper. Roast on a cookie sheet in a 350 degree F oven for about 25 minutes, until fork tender. Cool and set aside.
Combine lentils and rice in a medium saucepan; add coriander, bay leaf, curry powder, salt and pepper. Pour in 3 1/4 cups of broth to cover by at least 2 inches. Turn the heat to medium and cook 30 to 45 minutes, stirring frequently. If you need to add more liquid to keep the mixture wet do so, a little at a time.
Meanwhile, place 1 tablespoon of olive oil in a small saucepan over medium heat. Add onions and cook, stirring until softened, about 5 minutes. Rehydrate the apricots with remaining 1/4 cup vegetable stock. Stir in the lentils and rice. Cook until heated through, about 5 minutes. Bring the components together by spooning the mixture into the roasted acorn squash. Season with salt and pepper. Garnish with parsley and mint.","['2 tablespoons olive oil, divided', '2 acorn squash, halved and roasted', '2 teaspoons cinnamon', '1 cup lentils, rinsed and cleaned', '1 cup brown rice', '1 tablespoon coriander', '1 bay leaf', '2 tablespoons curry powder', 'Salt and pepper, to taste', '3 1/2 cups vegetable stock, divided', '1 onion, chopped', '1/2 cup dried apricots, chopped', 'Fresh flat-leaf parsley and mint, for garnish']",Moroccan Stew
"Toss flour and chicken in bag to coat. Cook chicken in oil in nonstick skillet 6 minutes, until browned, turning once. Transfer to plate.
Cook onion in skillet 7 minutes. Add garlic, cinnamon, ginger, cumin, cayenne; cook 1 minute. Stir in tomato, honey and salt. Add chicken; simmer, covered, 10 minutes. Stir in peppers, raisins and chickpeas; simmer, stirring, 15 minutes, until peppers are tender and chicken is no longer pink near the bone.
Serve over orzo. Sprinkle with almonds and parsley.","['2 tablespoons all-purpose flour', '1 1/2 pounds skinless chicken thighs', '1 tablespoon olive oil', '2 red onions, quartered lengthwise, sliced crosswise', '2 cloves garlic, finely chopped', '1 teaspoon ground cinnamon', '1 teaspoon ground ginger', '1 teaspoon ground cumin', '1/4 teaspoon cayenne pepper', '1 (16-ounce) can tomato puree (no salt added)', '1/4 cup honey', '1 1/2 teaspoons salt', '2 sweet green peppers, cut in 1/2-inch squares', '1/3 cup golden raisins', '1 can (15 ounces) chickpeas, rinsed and drained', '12 ounces orzo pasta, cooked', '1/3 cup slivered almonds, toasted', '3 tablespoons chopped parsley leaves']",Moroccan Chicken Stew
"Preheat grill pan to high. Brush chops with a little olive oil. Combine dry spice blend in a small container, cover and shake to combine. Rub spice blend into the chops on both sides. Grill chops 7 to 8 minutes, turning once, for medium rare, 10 to 12 minutes for medium to medium well. Serve with wedges of lemon.","['6 loin lamb chops', '1 tablespoon extra-virgin olive oil', '1 tablespoon ground cumin, a palm full', '2 teaspoons ground turmeric, eyeball it', '1 teaspoon sweet paprika, 1/3 palm full', '1 teaspoon coriander seeds', '1 teaspoon garlic salt', '1/2 teaspoon hot red pepper flakes', '1 lemon, wedged']",Moroccan Rub Lamb Chops
"In a large saute pan heat 1 tablespoon olive oil. Add the carrots, 2 tablespoons sugar, 1/2 cup lemon juice, and 1/4 teaspoon kosher salt. Cook carrots until they just start softening.
In another saute pan heat 1 tablespoon of olive oil. Add the spinach until just wilted. Remove from the pan and rough chop.
In a large bowl combine the cooked carrots, spinach, remaining 1 teaspoon sugar, cumin, garlic, orange juice, remaining lemon juice, and remaining olive oil. Serve warm.","['1 tablespoons kosher for Passover olive oil, plus 1 tablespoon, plus 1 tablespoon', '5 cups carrots, sliced on the bias, about 8 large carrots', '2 tablespoons plus 1 teaspoon sugar', '1/2 cup plus 1 tablespoon lemon juice', '1/2 teaspoon kosher salt', '3 cups fresh spinach, cleaned', '1/2 teaspoon ground cumin', '1 teaspoon chopped garlic', '2 tablespoons orange juice']",Moroccan Carrot and Spinach Salad
"In a small bowl, combine the flax seed with 2 tablespoons of water and let soak for 20 minutes.
Meanwhile, in a small bowl, whisk together 3 tablespoons red wine vinegar and 1 teaspoon cumin. While whisking, drizzle in 2 tablespoons olive oil to make a smooth dressing and season with salt and pepper, to taste. Mix the flaxseed with the dressing. Set the flaxseed dressing aside.
Preheat an outdoor grill or indoor grill pan. In a large bowl, lightly coat the peppers and tomato with 1 tablespoon of olive oil and season with salt and pepper, to taste. Grill the peppers and tomato until slightly charred and soft. Let cool.
Meanwhile, in another large bowl, whisk together the remaining 3 tablespoons red wine vinegar, 1 teaspoon of cumin, and 1 tablespoon black pepper. While whisking, drizzle in 2 tablespoons olive oil to make a smooth dressing and season with salt, to taste.
Peel and seed the peppers and tomato and leaving some of the charred skin, and slice. Toss the them with the dressing.
Heat the remaining 2 tablespoons olive oil in large skillet over medium-high heat. Add the prawns and cook, stirring, until just cooked through.
Arrange lettuce leaves along outer edge of a large platter. Arrange the peppers and tomato on the lettuce. Place the watercress in the middle and drizzle flax seed dressing over the top. Add the prawns with their juice and scatter around the preserved lemon and olives. Serve.","['1 tablespoon ground flax seed', '2 tablespoons water', '6 tablespoons red wine vinegar', '2 teaspoons ground cumin', '7 tablespoons extra-virgin olive oil', 'Kosher salt, as needed', 'Freshly ground black pepper, as needed, plus 1 tablespoon', '1 large red bell pepper', '1 large green bell pepper', '1 large tomato', '1 head butter lettuce, cored and quartered lengthwise', 'About 20 stems watercress', '8 large peeled prawns', '1 preserved lemon, chopped', 'Moroccan oil-cured black and green olives, for garnish']",Moroccan Watercress and Butter Lettuce Salad: Shlada De-al Jorjor Ain El Maa
"Preheat the oven to 325 degrees F. Butter a 9-by-13-inch baking dish. Heat 2 sticks butter in a large skillet over medium-high heat. Add the onion, shallots and celery and cook, stirring occasionally, until soft, about 8 minutes.
Transfer the onion mixture to a large bowl. Add the pine nuts, raisins, pomegranate seeds, bread cubes and ras el hanout and mix with a wooden spoon. Combine the turkey broth and poultry seasoning in another bowl. In a third bowl, whisk the eggs with 1/2 teaspoon salt.
Add the turkey broth mixture and the egg mixture to the bowl with the bread cubes and toss to combine. Transfer to the prepared baking dish, cover with foil and bake until slightly set, 35 to 45 minutes. Remove the foil and continue baking until the top is browned, about 5 more minutes. Sprinkle with the chives, lemon zest and lemon juice.","['2 sticks unsalted butter, plus more for the baking dish', '1 cup finely chopped onion', '2 shallots, minced', '1/2 cup finely chopped celery', '1/3 cup pine nuts, toasted', '1/2 cup golden raisins', '1/4 cup pomegranate seeds', '12 cups cubed brioche bread', '1/4 teaspoon ras el hanout (Moroccan spice blend)', '1 cup low-sodium turkey or chicken broth', '1/4 teaspoon poultry seasoning', '2 large eggs', 'Kosher salt', '1/2 tablespoon chopped fresh chives', 'Finely grated zest of 1 lemon', '2 teaspoons fresh lemon juice']",Moroccan Stuffing
