name,steps,description,ingredients
3 ingredient moroccan dry rub,"['mix all ingredients together', 'rub over fish before grilling', 'serve with lemon wedges']",who says that recipes have to be complicated to be amazing? this one will prove that it doesn't! try it on chicken or really any other meat. great for grilled veggies too! you only have to remember to use equal parts of each spice to make this. this is a chatelaine magazine recipe. enjoy!,"['ground cumin', 'ground coriander', 'cinnamon']"
argana s moroccan chicken,"['in a large tagine or non-metallic cooking pot , mix the onions , garlic , ginger , saffron , olive oil , parsley , cilantro , cumin , cinnamon , turmeric , paprika and lemon juice', 'add the chicken and toss until all pieces are coated', 'cover and let marinate in the refrigerator at least 2 hours or overnight', 'when ready to cook , pour the water into the tagine or pot', 'add the salt and pepper', 'place on the stove and bring to a simmer over medium heat', 'let simmer for 35 - 40 minutes , until the chicken is cooked through', 'while the chicken is cooking , in a separate saucepan , bring the olives and preserved lemon to a boil', 'let cook for 10 minutes , then drain', 'add the olive mixture to the chicken 5 minutes before serving', 'serve hot']",there are a lot of moroccan chicken recipes here on zaar. i'm posting this one anyway since it's supposed to be a restaurant copycat.,"['broiler-fryer chickens', 'onions', 'minced garlic cloves', 'fresh ginger', 'saffron', 'olive oil', 'fresh parsley', 'cumin', 'cinnamon', 'turmeric', 'paprika', 'lemon juice', 'water', 'salt', 'black pepper', 'preserved lemon', 'olives']"
authentic moroccan bread,"['add the sugar to 1 / 4 cup of lukewarm water', 'then add the yeast and stir to soften', 'let it sit in a warm place until the yeast is bubbly & doubles in volume , roughly 2 minutes', 'mix the flours & salt in the large mixing bowl', 'after yeast is ready add it to the flour along with the milk', 'add enough lukewarm water to the mixture to form a stiff dough', 'add a small amount at a time', 'if you have added too much the mixture will be extra sticky and it will be hard to get off your hands', 'the right consistency should allow the dough to pull easily off your fingers', 'place the dough onto a lightly floured board & knead hard with closed fists , pushing outward', 'during the final part of kneading , add 1 tsp of cumin or sesame seeds', 'it will take between 10-15 minutes to knead the dough thoroughly', 'you will know it is ready when it achieves a smooth , elastic consistency', 'take the thoroughly kneaded dough & form it into two balls & let it stand for 5 minutes on the board', 'sprinkle cornmeal onto two baking sheets & place to the side', 'then lightly grease a mixing bowl with oil', 'transfer the first ball of dough to the bowl', 'roll the dough along the sides while rotating bowl with your other hand , this will make the dough into a cone shape', 'place the dough , wide end down , onto the first baking sheet', 'flatten the cone with the palm of your hand to form a disc about 5 inches in diameter with a slightly raised center', 'repeat with the second ball', 'lightly sprinkle the remaining seeds on top of the bread', 'cover each disc loosely with a damp towel & let it rise for about 2 hours in a warm place', 'the dough will be ready when you can gently pole your finger into it & it will not spring back into place', 'preheat the oven to 400 degrees', 'using a fork , poke the bread 3 to 4 times & place in the center shelf of the oven', 'bake for 12 minutes , then lower the heat to 300 degrees & make 25-30 minutes more', 'to give the bread a nice brown color , turn the oven on broil', 'watch the bread carefully , once it is golden , turn it over to brown the other side', 'remove from the oven & let cool']",this recipe was modified from paula wolfert's cookbook. the barley flour gives the bread a more authentic taste but whole-wheat flour can be substituted.,"['active dry yeast', 'sugar', 'unbleached flour', 'barley flour', 'salt', 'milk', 'sesame seeds', 'oil', 'cornmeal']"
baghrir moroccan yeast pancakes,"['blend the pancake batter in blender 3 minutes', 'pour into bowl and let rise until double', 'in non-stick pan pour batter that is consistency of crepe batter into lightly oiled pan', 'oil the pan every time you make one', 'swirl like crepe batter', 'cook until dry on top', ""don't flip over"", 'will resemble honeycombs', 'stack on towel', 'not on each other', 'will stick when warm', 'warm syrup ingredients together', 'pour over honeycomb side']",southern moroccan pancake cooked only on one side; these are awesome.,"['milk', 'semolina flour', 'flour', 'yeast', 'baking powder', 'turmeric', 'honey', 'butter', 'orange flower water']"
basteeya  moroccan chicken pie,"['brush a large 10-inch pie plate with some melted butter and set aside', 'in a large skillet over medium-high heat , heat the olive oil', 'saute the onions until soft , then add the garlic , chile , cinnamon stick , curry powder , fresh ginger , lemon zest and chicken chunks and saute for two minutes', 'stir in the prunes , olives , chicken stock , lemon juice , and the salt and pepper', 'bring this to a boil', 'reduce the heat to low , cover , and simmer , without stirring at all , for 10 minutes', 'then remove the lid and simmer for 5 more minutes , or until the liquid has evaporated', 'let this cool completely', 'meanwhile , in a food processor , pulse the icing sugar , ground cinnamon and almonds until coarsely chopped', 'preheat oven to 375f', ""when the chicken mixture has cooled completely , it's time to begin the assembly: on your work surface , arrange a sheet of phyllo and brush it with some of the melted butter or olive oil"", 'lay this sheet of phyllo in the middle of the pie plate , letting the excess phyllo hang over the edge', 'repeat with 4 more sheets of phyllo', 'stir the lightly beaten egg and chopped coriander into the chicken mixture , combine , then spoon the entire mixture into the pie plate , on top of the sheets of phyllo in it', 'fold the phyllo edges that are hanging over the edge of the pie plate , one at a time , onto the middle of the pie , sprinkling some of the almond mixture between each layer', 'do this loosely and not tightly', 'butter one piece of the remaining phyllo and sprinkle with some of the almond mixture', 'place over filling and tuck in any overhang', 'repeat with remaining phyllo and almond mixture--christine cushing says to do this one by one , not stacked together , to achieve a light , blossomy top', 'bake in preheated oven for 20 minutes , or until the top is browned and crisp', 'let stand for 5 minutes before cutting into wedges to serve']","i have not made this, but am posting it here in the hope that it might help someone out who is looking for a similar recipe. i saw christine cushing make this on her tv show and it looked amazing, and so had the recipe on hand in my ","['olive oil', 'onion', 'garlic', 'thai chile', 'cinnamon stick', 'madras curry powder', 'fresh ginger', 'fresh lemon zest', 'chicken legs', 'prunes', 'green olives', 'chicken stock', 'lemon, juice of', 'coarse salt', 'fresh ground black pepper', 'icing sugar', 'whole almonds', 'ground cinnamon', 'butter', 'phyllo dough', 'egg', 'fresh coriander']"
batata slata    moroccan potato salad,"['you want good waxy boiling potatoes for this', 'the cooking salt is for seasoning and cooking the potatoes inches the 1 teaspoons of salt listed is for after potatoes are cooked and is only approximate', 'salt to taste', 'peel the potatoes and cut into 1-inch chunks', 'boil potatoes in salted water until cooked through and not mushy', 'drain cooked potatoes and allow to cool though still quite warm', 'add remaining ingredients and refrigerate 6 hours or overnight is best', 'the salt to season is your personal choice', 'the amount of lemon juice or vinegar and oil will vary according to your potatoes , so season with these accordingly', 'this salad should be more tangy than oily', 'at times , 2-4 tablespoons of mayonnaise is added this too is authentic', 'this depends on the mood of the cook / consumers', 'to make this into another very popular salad', 'batata and zrodia slata , simply add 3 cooked carrots cut into approximately 4mm coins', 'season accordingly', 'you will notice the lack of use of black pepper in this dish', 'i have not to date had a batata or a batata and zrodia slata which contained black pepper']","this dish takes a slightly different turn depending upon the cook. some, like me prefer more lemon or vinegar. some only use vinegar or lemon due to finances and can't interchange though most of us do exchange them equally. in any case it is a wonderful potato salad that is a bit different than usual. in summer i use the tomato and out of summer i do not. basically if i feel like adding the tomato i do and if i don't, then i don't. this is easy to make as most ingredients are already home and we often serve this with our fall and winter soups and crusty baguette.  c.2005","['potatoes', 'flat leaf parsley', 'fresh tomato', 'sweet onion', 'fresh lemon', 'vegetable oil', 'salt']"
beef fillets with moroccan couscous,"['rub half of the curry paste over the beef fillet', 'cook beef in oiled pan until brown all over , but still a bit pink inside', 'remove beef from pan and set aside', 'add remaining curry paste and onion to pan and cook until onion is soft', 'add stock and bring to boil', 'remove from heat and add couscous', 'let stand for 5 minutes', 'add tomatoes , mint and half of the almonds and fluff gently with a fork', 'slice beef and serve on top of couscous , sprinkling with the remaining almonds']",this recipe works just as well with lamb fillets. the couscous is really tasty and a good dish on its own. can't remember where i got this from.,"['mild curry paste', 'filet of beef', 'onions', 'beef stock', 'couscous', 'tomatoes', 'of fresh mint', 'slivered almonds']"
beef kabobs with moroccan spices,"['to prepare marinade:', 'in food processor or blender , place cubed onion , zest , juice , oil , garlic , cumin , thyme , mint , paprika and ground red pepper', 'pure until blended', 'kabobs:', 'in a gallon-size sealable plastic bag , combine beef cubes , bay leaf and marinade', 'seal bag , squeezing out air', 'turn to coat beef', 'refrigerate 1 hour or overnight , turning bag occasionally', 'allow meat to remain at room temperature 30 minutes before cooking', 'drain marinade into small saucepan and bring to a boil', 'reserve', 'while meat marinates , soak four 10-inch bamboo skewers in water for 1 hour', 'preheat broiler or grill 20 minutes', 'thread vegetables and meat onto skewers , beginning and ending with onion wedges', 'set skewers on rack , keeping rack about 23 inches from heat', 'broil about 3 minutes per side , basting with the marinade when turning', 'heat remaining marinade and bring to a boil', 'boil for 1 minute', 'serve marinade with kabobs', 'each serving provides: 1 1 / 4 vegetables , 3 proteins , 40 optional calories', 'per serving: 243 calories , 23 g protein , 13 g fat , 7 g carbohydrate , 61 mg sodium , 66 mg cholesterol , 1 g dietary fiber', '6 points']","from the weight watchers complete cookbook & program basics  cookbook, this sounds really good.","['onion', 'lemon, zest of', 'fresh lemon juice', 'olive oil', 'garlic cloves', 'ground cumin', 'fresh thyme', 'of fresh mint', 'paprika', 'ground red pepper', 'boneless beef tenderloin', 'bay leaf', 'red bell pepper', 'mushroom caps', 'fresh flat-leaf parsley']"
bisteeya or moroccan chicken pie,"['in a large skillet put 2 tablespoons butter , the chicken pieces , onions , 1 teaspoon salt , 1 teaspoon pepper , 2 teaspoons cinnamon , the ginger , cumin , cayenne , saffron , turmeric and chicken stock', 'simmer gently , covered , until the chicken is cooked , 45 minutes', 'remove the chicken from the sauce and let it cool', 'remove all the bones and tear the chicken into 1 inch pieces', 'bring the liquid to a simmer and add the eggs stirring gently until the eggs are cooked and most of the liquid is evaporated , 4 to 5 minutes', 'add the chicken , cilantro , parsley , salt and pepper and mix well', 'preheat oven to 375f', 'toast the almonds in the oven until they are very lightly golden and hot to the touch , about 5 to 7 minutes', 'coarsely chop them in a blender or food processor and mix with 3 tablespoons sugar and 3 / 4 teaspoons cinnamon', 'set aside and reserve the rest of the cinnamon sugar for a garnish', 'melt the remaining 12 tablespoons butter', 'brush a 12 inch pie pan with the butter', 'place one sheet of phyllo dough on the bottom of the pie plate so that it completely covers the bottom of the plate and extends over one side by several inches', 'brush the whole sheet of phyllo lightly and continue with 7 more sheets moving in a pinwheel effect , brushing butter on each sheet', 'spread the chicken mixture on the phyllo and sprinkle with the almond mixture', 'fold the overhanging phyllo up over the chicken and almonds and brush with butter', 'then continue adding 7 more sheets of phyllo to the pie as your did before', 'tuck all the overhanging edges under the pie and brush remaining butter over top of the pie', 'place in 375f oven and bake until golden brown and flaky , about 20 minutes', 'sprinkle the garnishing cinnamon and sugar over top']",this will break your mouth as they say down south.  its just fantastic if you like exotic flavors and good old fashioned chicken pot pie!,"['butter', 'whole chickens', 'onion', 'salt and pepper', 'cinnamon', 'ginger', 'cumin', 'cayenne', 'saffron thread', 'turmeric', 'chicken stock', 'eggs', 'fresh cilantro', 'fresh parsley', 'blanched almond', 'powdered sugar', 'phyllo dough']"
byessar  moroccan broad bean dip,"['split the broad bean pods along the seams , remove the beans and discard the pods', 'cook the beans in boiling salted water for 4-5 minutes or until just tender', 'drain', 'refresh in iced water', 'then drain again', 'peel and discard the skins from the larger beans', 'process the broad beans , preserved lemon , garlic , ras el hanout , oil and lemon juice for 1 minute', 'season to taste with salt and pepper , and cover and refrigerate for 20 minutes to allow the flavours to combine', 'when ready to serve , stir in the coarsely cut coriander leaves , and serve as part of a mezze plate with moroccan-style flat bread , black olives and lebanese cucumber', ""it's available from middle eastern food stores , delicatessens or , for australian members of zaar , from herbie's spices 9555 6035 , www"", 'herbies', 'com', 'au', 'if you are unable to obtain ras el hanout , you can use ground cumin instead']","did you know that for the ancient egyptians, beans were seen as a symbol of reincarnation and that they represented the rebirth of spring each year?  i found this fabulous recipe for a moroccan broad bean dip in the first edition - september 2005 - of the new australian magazine 'notebook: ideas for living'.  it was part of an article on peas and beans.  the 'cooking time' specified below does not include the 20 minutes cooling time in the refrigerator, necessary for allowing the flavours to blend.  when i made this, i used frozen broad beans, thawed; they were baby beans so they didn't need peeling; and i used cumin because i haven't yet tracked down any ras el hanout.  i also used 4 cloves of garlic - which is what i've included here in the ingredients; the original recipe had 1 clove of garlic.","['broad bean', 'lemon rind', 'garlic cloves', 'ras el hanout spice mix', 'olive oil', 'lemon, juice of', 'coriander']"
