title,description,ingredients,directions,total_time,instructions_list
Lamb Tagine,"When I made this dish I left the kitchen window open.  The smell attracted several male neighbors, and when my husband came in, he said that it smelled so good, he hoped it was coming from our house and not from someone else's!  Serve with my Moroccan Couscous and Cucumber Raita on this site.","3 tablespoons olive oil, divided ; 2 pounds lamb meat, cut into 1 1/2 inch cubes ; 2 teaspoons paprika ; ¼ teaspoon ground turmeric ; ½ teaspoon ground cumin ; ¼ teaspoon cayenne pepper ; 1 teaspoon ground cinnamon ; ¼ teaspoon ground cloves ; ½ teaspoon ground cardamom ; 1 teaspoon kosher salt ; ½ teaspoon ground ginger ; 1 pinch saffron ; ¾ teaspoon garlic powder ; ¾ teaspoon ground coriander ; 2 medium onions, cut into 1-inch cubes ; 5  carrots, peeled, cut into fourths, then sliced lengthwise into thin strips ; 3 cloves garlic, minced ; 1 tablespoon freshly grated ginger ; 1  lemon, zested ; 1 (14.5 ounce) can homemade chicken broth or low-sodium canned broth ; 1 tablespoon sun-dried tomato paste ; 1 tablespoon honey ; 1 tablespoon cornstarch  (Optional); 1 tablespoon water  (Optional)","Place diced lamb in a bowl, toss with 2 tablespoons of the olive oil, and set aside.  In a large resealable bag, toss together the paprika, turmeric, cumin, cayenne, cinnamon, cloves, cardamom, salt, ginger, saffron, garlic powder, and coriander; mix well.  Add the lamb to the bag, and toss around to coat well.  Refrigerate at least 8 hours, preferably overnight. Heat 1 tablespoon of olive oil in a large, heavy bottomed pot over medium-high heat.  Add 1/3 of the lamb, and brown well.  Remove to a plate, and repeat with remaining lamb.  Add onions and carrots to the pot and cook for 5 minutes.  Stir in the fresh garlic and ginger; continue cooking for an additional 5 minutes.  Return the lamb to the pot and stir in the lemon zest, chicken broth, tomato paste, and honey.  Bring to a boil, then reduce heat to low, cover, and simmer for 1 1/2 to 2 hours, stirring occasionally, until the meat is tender. If the consistency of the tagine is too thin, you may thicken it with a mixture of cornstarch and water during the last 5 minutes.",10 hrs 45 mins,"['Place lamb and 2 tablespoons olive oil in a large bowl and toss to coat; set aside.', 'Mix together paprika, cinnamon, salt, garlic powder, coriander, cumin, cardamom, ginger, turmeric, cayenne, cloves, and saffron in a large resealable bag. Add lamb to the bag and toss around to coat well. Refrigerate for at least 8 hours, preferably overnight.', 'Heat remaining 1 tablespoon olive oil in a large, heavy-bottomed pot over medium-high heat. Add 1/3 of the lamb and brown well, 5 to 7 minutes. Remove to a plate and repeat to cook remaining two batches of lamb.', 'Add onions and carrots to the pot and cook for 5 minutes. Stir in garlic and ginger; continue cooking for an additional 5 minutes. Return lamb to the pot and stir in lemon zest, chicken broth, tomato paste, and honey. Bring to a boil, then reduce heat to low. Cover and simmer, stirring occasionally, until meat is tender, 1 1/2 to 2 hours.', 'If the consistency of tagine is too thin, you may thicken it with cornstarch and water slurry during the last 5 minutes.']"
Ras el Hanout,This spice mix is often called for in many Moroccan dishes.,1 teaspoon salt ; 1 teaspoon ground cumin ; 1 teaspoon ground ginger ; 1 teaspoon ground turmeric ; ¾ teaspoon ground cinnamon ; ¾ teaspoon freshly ground black pepper ; ½ teaspoon ground white pepper ; ½ teaspoon ground coriander seed ; ½ teaspoon ground cayenne pepper ; ½ teaspoon ground allspice ; ½ teaspoon ground nutmeg ; ¼ teaspoon ground cloves,"Mix salt, cumin, ginger, turmeric, cinnamon, black pepper, white pepper, coriander, cayenne pepper, allspice, nutmeg, and cloves in a small bowl until evenly blended. Store in an airtight container up to 1 month.",5 mins,"['Mix salt, cumin, ginger, turmeric, cinnamon, black pepper, white pepper, coriander, cayenne, allspice, nutmeg, and cloves in a small bowl until evenly blended. Store in an airtight container for up to 1 month.']"
Make-Ahead Vegetarian Moroccan Stew,"This delicious, healthy North African-inspired stew is a family favorite, served with warm bread or even over couscous. You can make the entire stew ahead of time, let it cool, and refrigerate it for up to 3 days or freeze it for several months. You can also chop the veggies and mix the spices ahead of time, freeze them, and assemble it with the canned ingredients the day you wish to cook it for a wonderful exotic meal in just 30 minutes.","1 teaspoon ground cinnamon ; 1 teaspoon ground cumin ; 1 teaspoon kosher salt ; ½ teaspoon ground ginger ; ¼ teaspoon ground cloves ; ¼ teaspoon ground nutmeg ; ¼ teaspoon ground turmeric ; ⅛ teaspoon curry powder ; 1 tablespoon butter ; 1  sweet onion, chopped ; 2 cups finely shredded kale  ; 4 (14 ounce) cans organic vegetable broth ; 1 (15 ounce) can garbanzo beans, drained ; 1 (14.5 ounce) can diced tomatoes, undrained ; 3 large potatoes, peeled and diced ; 2  sweet potatoes, peeled and diced ; 4 large carrots, chopped ; 1 cup dried lentils, rinsed ; ½ cup chopped dried apricots ; 1 tablespoon honey ; 1 teaspoon ground black pepper, to taste ; 1 tablespoon cornstarch  (Optional); 1 tablespoon water  (Optional)","Combine cinnamon, cumin, salt, ginger, cloves, nutmeg, turmeric, and curry powder in a large bowl. Melt butter in a large pot over medium heat. Cook the onion in the butter until soft and just beginning to brown, 5 to 10 minutes. Stir in kale and spice mixture; cook until kale begins to wilt and spices are fragrant, about 2 minutes. Pour the vegetable broth into the pot.  Stir garbanzo beans, tomatoes, potatoes, sweet potatoes, carrots, lentils, apricots, and honey, into the broth; bring to boil, reduce heat to low, and simmer until vegetables and lentils are cooked and tender, about 30 minutes. Season stew with black pepper. Dissolve cornstarch in water; stir into stew and simmer thickened, about 5 minutes.",1 hr 10 mins,"['Combine cinnamon, cumin, salt, ginger, cloves, nutmeg, turmeric, and curry powder in a large bowl.', 'Melt butter in a large pot over medium heat. Cook the onion in the butter until soft and just beginning to brown, 5 to 10 minutes. Stir in kale and spice mixture; cook until kale begins to wilt and spices are fragrant, about 2 minutes.', 'Pour the vegetable broth into the pot. Stir garbanzo beans, tomatoes, potatoes, sweet potatoes, carrots, lentils, apricots, and honey, into the broth; bring to boil, reduce heat to low, and simmer until vegetables and lentils are cooked and tender, about 30 minutes. Season stew with black pepper.', 'Dissolve cornstarch in water; stir into stew and simmer thickened, about 5 minutes.']"
Cucumber Raita,"Serve this cool, refreshing salad with my Lamb Tagine and Moroccan Couscous on this site.  Make the salad early in the day and keep in the refrigerator to let the flavors blend and intensify.  Add more mint to taste, but do not substitute dried mint; the flavor is just not the same.","2  hot house cucumber - peeled, seeded and thinly sliced ; 2 cups Greek yogurt ; 3 tablespoons lemon juice ; 2 tablespoons chopped fresh mint ; ½ teaspoon white sugar ; ¼ teaspoon kosher salt","Stir together the cucumber, yogurt, lemon juice, mint, sugar, and salt in a bowl.  Cover and refrigerate at least 3 hours, preferably overnight.",3 hrs 15 mins,"['Stir together the cucumber, yogurt, lemon juice, mint, sugar, and salt in a bowl. Cover and refrigerate at least 3 hours, preferably overnight.']"
Moroccan Chicken,"Spices, spices, spices! This recipe is thick with 'em, and your taste buds will be thick with pleasure from Moroccan Chicken. This exotic tasting dish is a definite crowd pleaser!","1 pound skinless, boneless chicken breast meat - cubed ; 2 teaspoons salt ; 1  onion, chopped ; 2 cloves garlic, chopped ; 2  carrots, sliced ; 2 stalks celery, sliced ; 1 tablespoon minced fresh ginger root ; ½ teaspoon paprika ; ¾ teaspoon ground cumin ; ½ teaspoon dried oregano ; ¼ teaspoon ground cayenne pepper ; ¼ teaspoon ground turmeric ; 1 ½ cups chicken broth ; 1 cup crushed tomatoes ; 1 cup canned chickpeas, drained ; 1  zucchini, sliced ; 1 tablespoon lemon juice","Season chicken with salt and brown in a large saucepan over medium heat until almost cooked through. Remove chicken from pan and set aside. Saute onion, garlic, carrots and celery in same pan. When tender, stir in ginger, paprika, cumin, oregano, cayenne pepper and turmeric; stir fry for about 1 minute, then mix in broth and tomatoes. Return chicken to pan, reduce heat to low and simmer for about 10 minutes. Add chickpeas and zucchini to pan and bring to simmering once again; cover pan and cook for about 15 minutes, or until zucchini is cooked through and tender. Stir in lemon juice and serve.",45 mins,"['Season chicken with salt and brown in a large saucepan over medium heat until almost cooked through. Remove chicken from pan and set aside.', 'Saute onion, garlic, carrots and celery in same pan. When tender, stir in ginger, paprika, cumin, oregano, cayenne pepper and turmeric; stir fry for about 1 minute, then mix in broth and tomatoes. Return chicken to pan, reduce heat to low and simmer for about 10 minutes.', 'Add chickpeas and zucchini to pan and bring to simmering once again; cover pan and cook for about 15 minutes, or until zucchini is cooked through and tender. Stir in lemon juice and serve.']"
Slow Cooker Chicken Marrakesh,"I have been making this Moroccan-style recipe for years. It's so easy to make, it has become a tradition in our household.","1  onion, sliced ; 2 cloves garlic, minced  (Optional); 2 large carrots, peeled and diced ; 2 large sweet potatoes, peeled and diced ; 1 (15 ounce) can garbanzo beans, drained and rinsed ; 2 pounds skinless, boneless chicken breast halves, cut into 2-inch pieces ; ½ teaspoon ground cumin ; ½ teaspoon ground turmeric ; ¼ teaspoon ground cinnamon ; ½ teaspoon ground black pepper ; 1 teaspoon dried parsley ; 1 teaspoon salt ; 1 (14.5 ounce) can diced tomatoes","Place the onion, garlic, carrots, sweet potatoes, garbanzo beans, and chicken breast pieces into a slow cooker. In a bowl, mix the cumin, turmeric, cinnamon, black pepper, parsley, and salt, and sprinkle over the chicken and vegetables. Pour in the tomatoes, and stir to combine. Cover the cooker, set to High, and cook until the sweet potatoes are tender and the sauce has thickened, 4 to 5 hours.",4 hrs 25 mins,"['Place the onion, garlic, carrots, sweet potatoes, garbanzo beans, and chicken breast pieces into a slow cooker. In a bowl, mix the cumin, turmeric, cinnamon, black pepper, parsley, and salt, and sprinkle over the chicken and vegetables. Pour in the tomatoes, and stir to combine.', 'Cover the cooker, set to High, and cook until the sweet potatoes are tender and the sauce has thickened, 4 to 5 hours.']"
Chicken Tagine,This Moroccan slow cooker dish is the perfect blend of sweetness and spice.,"2 tablespoons olive oil ; 8  skinless, boneless chicken thighs, cut into 1-inch pieces ; 1  eggplant, cut into 1 inch cubes ; 2 large onions, thinly sliced ; 4 large carrots, thinly sliced ; ½ cup dried cranberries ; ½ cup chopped dried apricots ; 2 cups chicken broth ; 2 tablespoons tomato paste ; 2 tablespoons lemon juice ; 2 tablespoons all-purpose flour ; 2 teaspoons garlic salt ; 1 ½ teaspoons ground cumin ; 1 ½ teaspoons ground ginger ; 1 teaspoon cinnamon ; ¾ teaspoon ground black pepper ; 1 cup water ; 1 cup couscous","Heat olive oil in a skillet over medium-high heat. Place the chicken pieces and eggplant in the heated oil; stir and cook until the chicken is browned on all sides but not cooked through. Remove the skillet from the heat. Place the browned chicken and eggplant on the bottom of a slow cooker. Layer the onion, carrots, dried cranberries, and apricots over the chicken. Whisk together the chicken broth, tomato paste, lemon juice, flour, garlic salt, cumin, ginger, cinnamon, and ground black pepper in a bowl. Pour the broth mixture into the slow cooker with the chicken and vegetables. Cook on High setting for 5 hours, or on Low setting for 8 hours. Bring water to boil in a saucepan. Stir in couscous, and remove from heat. Cover, and let stand about 5 minutes, until liquid has been absorbed. Fluff with a fork.",5 hrs 30 mins,"['Heat olive oil in a skillet over medium-high heat. Place the chicken pieces and eggplant in the heated oil; stir and cook until the chicken is browned on all sides but not cooked through. Remove the skillet from the heat.', 'Place the browned chicken and eggplant on the bottom of a slow cooker. Layer the onion, carrots, dried cranberries, and apricots over the chicken.', 'Whisk together the chicken broth, tomato paste, lemon juice, flour, garlic salt, cumin, ginger, cinnamon, and ground black pepper in a bowl. Pour the broth mixture into the slow cooker with the chicken and vegetables.', 'Cook on High setting for 5 hours, or on Low setting for 8 hours.', 'Bring water to boil in a saucepan. Stir in couscous, and remove from heat. Cover, and let stand about 5 minutes, until liquid has been absorbed. Fluff with a fork.']"
Spanish Moroccan Fish,This Moroccan recipe was passed down for generations in my family. We usually serve it on the Sabbath night and holidays. It is a favorite! This dish may be served hot or cold according to taste.,"1 tablespoon vegetable oil ; 1  onion, chopped ; 1 clove garlic, finely chopped ; 1 (15 ounce) can garbanzo beans, drained and rinsed ; 2  red bell peppers, seeded and sliced into strips ; 1 large carrot, thinly sliced ; 3  tomatoes, chopped ; 4  olives, chopped ; ¼ cup chopped fresh parsley ; ¼ cup ground cumin ; 3 tablespoons paprika ; 2 tablespoons chicken bouillon granules ; 1 teaspoon cayenne pepper ;   salt to taste ; 5 pounds tilapia fillets","Heat vegetable oil in a skillet over medium heat. Stir in onion and garlic; cook and stir until the onion has softened and turned translucent, about 5 minutes. Add garbanzo beans, bell peppers, carrots, tomatoes, and olives; continue to cook until the peppers are slightly tender, about 5 minutes more. Sprinkle parsley, cumin, paprika, chicken bouillon, and cayenne over the vegetables. Season with salt. Stir to incorporate. Place tilapia on top of the vegetables and add enough water to cover the vegetables. Reduce heat to low, cover, and cook until fish flakes easily with a fork and juices run clear, about 40 minutes.",1 hr 20 mins,"['Heat vegetable oil in a skillet over medium heat. Stir in onion and garlic; cook and stir until the onion has softened and turned translucent, about 5 minutes. Add garbanzo beans, bell peppers, carrots, tomatoes, and olives; continue to cook until the peppers are slightly tender, about 5 minutes more.', 'Sprinkle parsley, cumin, paprika, chicken bouillon, and cayenne over the vegetables. Season with salt. Stir to incorporate. Place tilapia on top of the vegetables and add enough water to cover the vegetables. Reduce heat to low, cover, and cook until fish flakes easily with a fork and juices run clear, about 40 minutes.']"
Moroccan Lentil Soup,"Thick, delicious and nutritious, especially in the winter!","2  onions, chopped ; 2 cloves garlic, minced ; 1 teaspoon grated fresh ginger  ; 6 cups water ; 1 cup ;  ; 1 (15 ounce) can garbanzo beans, drained ; 1 (19 ounce) can cannellini beans ; 1 (14.5 ounce) can diced tomatoes ; ½ cup diced carrots ; ½ cup chopped celery ; 1 teaspoon garam masala ; 1 ½ teaspoons ground cardamom ; ½ teaspoon ground cayenne pepper ; ½ teaspoon ground cumin ; 1 tablespoon olive oil","In large pot saute; the onions, garlic, and ginger in a little olive oil for about 5 minutes. Add the water, lentils, chick peas, white kidney beans, diced tomatoes, carrots, celery, garam masala, cardamom, cayenne pepper and cumin. Bring to a boil for a few minutes then simmer for 1 to 1 1/2 hours or longer, until the lentils are soft. Puree half the soup in a food processor or blender. Return the pureed soup to the pot, stir and enjoy!",2 hrs 5 mins,"['In large pot saute; the onions, garlic, and ginger in a little olive oil for about 5 minutes.', 'Add the water, lentils, chick peas, white kidney beans, diced tomatoes, carrots, celery, garam masala, cardamom, cayenne pepper and cumin. Bring to a boil for a few minutes then simmer for 1 to 1 1/2 hours or longer, until the lentils are soft.', 'Puree half the soup in a food processor or blender. Return the pureed soup to the pot, stir and enjoy!']"
Harira,"This is the soup that Moroccans traditionally use to break the fast every night of Ramadan.  Season with salt, pepper, mint leaves and cinnamon to taste.","1 pound cubed lamb meat ; 1 teaspoon ground turmeric ; 1 ½ teaspoons ground black pepper ; 1 teaspoon ground cinnamon ; ¼ teaspoon ground ginger ; ¼ teaspoon ground cayenne pepper ; 2 tablespoons margarine ; ¾ cup chopped celery ; 1  onion, chopped ; 1  red onion, chopped ; ½ cup chopped fresh cilantro ; 1 (29 ounce) can diced tomatoes ; 7 cups water ; ¾ cup green lentils ; 1 (15 ounce) can garbanzo beans, drained ; 4 ounces vermicelli pasta ; 2  eggs, beaten ; 1  lemon, juiced","Place the lamb, turmeric, black pepper, cinnamon, ginger, cayenne, butter, celery, onion, and cilantro into a large soup pot over a low heat. Stir frequently for 5 minutes. Pour tomatoes (reserve juice) into the mixture and let simmer for 15 minutes. Pour tomato juice, 7 cups water, and the lentils into the pot. Bring the mixture to a boil, then reduce the heat to simmer. Let soup simmer, covered, for 2 hours. About 10 minutes before serving turn the heat to medium-high, place chickpeas and noodles into the soup, let cook about 10 minutes (until noodles are al dente). Stir in lemon and eggs, let eggs cook 1 minute.",2 hrs 45 mins,"['Place the lamb, turmeric, black pepper, cinnamon, ginger, cayenne, butter, celery, onion, and cilantro into a large soup pot over a low heat. Stir frequently for 5 minutes. Pour tomatoes (reserve juice) into the mixture and let simmer for 15 minutes.', 'Pour tomato juice, 7 cups water, and the lentils into the pot. Bring the mixture to a boil, then reduce the heat to simmer. Let soup simmer, covered, for 2 hours.', 'About 10 minutes before serving turn the heat to medium-high, place chickpeas and noodles into the soup, let cook about 10 minutes (until noodles are al dente). Stir in lemon and eggs, let eggs cook 1 minute.']"
