recipe_title,description,cuisine,course,diet,ingredients,instructions
Moroccan Chickpeas Stew Recipe ,"The   is a delicious curry made from chickpeas which is cooked in an onion tomato base with simple spices. The addition of dried apricots and roasted almonds adds great flavour to this simple protein packed chickpeas stew made Moroccan style .  Chickpeas make for a very nutritious and healthy diet. It reduces cholesterol, prevents constipation and helps prevent digestive disorders. Chickpeas are rich in potassium, phosphorus, magnesium and calcium. It also has impressive amounts of iron, sodium, selenium and small amounts of copper, zinc and manganese. Serve   along with   for a simple lunch meal. ",African,Dinner,High Protein Vegetarian,Kabuli Chana (White Chickpeas)|Extra Virgin Olive Oil|Cinnamon Stick (Dalchini)|Garlic|Onions|Salt|Whole Black Pepper Corns|Turmeric powder (Haldi)|Paprika powder|Cumin powder (Jeera)|Tomato|Apricots|Lemon juice|Mint Leaves (Pudina)|Coriander (Dhania) Leaves|Whole Almonds (Badam),"To begin making the Moroccan Chickpeas Stew Recipe, soak the chickpeas overnight or for at least 8 hours.|Once soaked, add the chickpeas to the pressure cooker along with a little salt and enough water such that it is at least 2 inches above the level of chickpeas. Pressure cook for 4 to 5 whistles and turn the heat to low and simmer for 25-30 minutes and turn off the heat.  |Allow the pressure to release naturally and keep the cooked chickpeas aside.|Heat olive oil in a heavy bottomed pan over medium heat; add the cinnamon stick, chopped  garlic and onions. |Saute for a minute or two, until the onions soften and their aroma wafts in the air. |Stir in the salt, turmeric, paprika, cumin powder, garam masala powder and give it a quick stir. |Once the spices are mixed in well, add the chopped apricots, tomato puree and chopped tomatoes. |Stir well, cover and cook for about 2 minutes until the tomatoes become mushy. When the tomatoes begin to turn mushy, stir in the cooked chickpeas. |Check salt and seasonings and adjust according to taste and bring the Chickpea stew to a brisk boil for about 10 minutes until the Moroccan chickpea stew absorbs all the flavours.|Add additional water if the Moroccan Chickpea Stew becomes too thick. Check the salt and adjust to suit your taste.|Turn off the heat, stir in the lemon juice, mint and coriander leaves. Garnish the Moroccan Chickpea Stew with chopped toasted almonds and serve.  |Serve Moroccan Chickpeas Stew Recipe along with | for a simple lunch meal."
Moroccan Harira Recipe (Thick Soup With Chickpeas & Masoor Dal),"Moroccan Harira Recipe (Thick Soup With Chickpeas & Masoor Dal) is a heart-warming soup that soothes the soul is always welcome irrespective of what weather it is outside. Moroccan cuisine has resemblance to Indian cuisine in a few ways. The spices used in Moroccan cuisines are so familiar to Indians spices. Harira is a traditional Moroccan soup dish. It’s a thick soup made from chickpeas and lentils with a whole lot of flavorful spices added. With lentils, vegetables all in one dish, this soup is a full meal in itself. For all the meat lovers, you can add lamb to the soup and make a rich filling Moroccan Harira Recipe (Thick Soup With Chickpeas & Masoor Dal) for dinner along with a  . Here are a few more Moroccan recipes to try",African,Appetizer,Vegetarian,Kabuli Chana (White Chickpeas)|Masoor Dal (Whole)|Carrot (Gajjar)|Onion|Coriander (Dhania) Leaves|Garlic|Salt|Black pepper powder|Cumin powder (Jeera)|Coriander Powder (Dhania)|Turmeric powder (Haldi)|Cinnamon Powder (Dalchini)|Paprika powder|Mint Leaves (Pudina)|Extra Virgin Olive Oil|Coriander (Dhania) Leaves|Parsley leaves,"To begin making Moroccan Harira Recipe (Thick Soup With Chickpeas & Masoor Dal), cook chickpeas and red lentils separately until it turns soft but remains whole. Do not overcook and mash it.|In a large pan heat olive oil. Add garlic and saute until raw smell is gone. Add onions saute until translucent. Add carrots and celery, cook for 4 to 5 minutes.|Add all the spice powder and give it a good mix. Add vegetable stock and bring it to boil.|Add cooked chickpeas and lentils, mix well. Add salt and pepper powder , mix cook for further 10-15 minutes.|Once soup reaches its correct consistency, turn off the heat. Add fresh coriander leaves.|Pour the soup into serving bowls. Garnish with some more fresh coriander and parsley. If you prefer swirl little beaten yogurt on top.|Also for that extra crunch you can deep fry some spaghetti and serve it on top of the soup before serving.You can also squeeze some lime juice for that extra zing on Moroccan Harira Recipe (Thick Soup With Chickpeas & Masoor Dal). Serve with |."
Vegetable Tagine Recipe,"Tagine is a food culture of the Moroccan and Algerian countries. Tagine is a shallow earthen pot which has a tall lid and food cooked in tagine tastes amazing. Dishes made of tagine are usually slow cooked mostly on fire or grill, these days the tagine is cooked in oven too. Vegetable Tagine a mix of root vegetables cooked slowly in a tagine along with spices. Usually there is at least one dry fruit added to a tagine dish. Moroccan dish is not complete without dry fruits like dates, apricots, prunes, etc. In this vegetable tagine, I have added prunes. The special spice mix that goes into this tagine called chermoula paste is the most important ingredient to this dish. The amazing combinations of spice, sweet and sour makes this tagine a perfect dish. Serve Vegetable Tagine on its own for a weekend dinner with a glass of chilled wine. If you like this recipe, you can also try one pot dish recipe such as",African,Dinner,Vegetarian,Carrots (Gajjar)|Potatoes (Aloo)|Parsnip|Leek|Red onion|Extra Virgin Olive Oil|Salt|Prunes|Mint Leaves (Pudina)|Onions|Garlic|Ginger|Honey|Cumin powder (Jeera)|Paprika powder|Kashmiri Red Chilli Powder|Turmeric powder (Haldi)|Lemon juice|Extra Virgin Olive Oil|Coriander (Dhania) Leaves,"To begin making the Vegetable Tagine recipe, we will first get started with the chermoula paste.|To make the chermoula paste add all the ingredients mentions in the list into a blender and blend into smooth paste. Keep aside. |Heat oven to 150 degree centigrade. Grease a baking casserole with olive oil. Chop all vegetables roughly into chunks. |Pour the remaining olive oil over the vegetables along with salt and mix well. Transfer the vegetables onto the casserole and place it in the over for about 7 to 10 minutes or until the vegetables or browned. |Add the chermoula paste mix well. Add prunes and water, mix and place it back into the oven. Cook for about 45 to 55 minutes until all vegetables and spics comes together. |Once done and the desired consistency is reached, remove from oven. Sprinkle mint leaves and serve it with couscous.|Serve Vegetable Tagine on its own for a weekend dinner with a glass of chilled wine."
Shakshuka With Spinach & Feta Cheese Recipe ,"The   is a wholesome North African Skillet dish, that is made with eggs in a spicy tomato sauce. The great thing about Shakshuka is the form of the eggs and what goes in as a base can be experimented to taste. This is a simple-go-to meal that works for breakfast along with a toast, a quick lunch or even a simple midweek dinner. Serve the    Other recipes that you can try are:",African,World Breakfast,Eggetarian,Extra Virgin Olive Oil|Onion|Red Bell pepper (Capsicum)|Garlic|Pickled Jalapenos|Spinach|Tomatoes|Bay leaf (tej patta)|Cumin powder (Jeera)|Red Chilli powder|Salt and Pepper|Sugar|Feta Cheese|Whole Eggs|Coriander (Dhania) Leaves,"To begin making the Shakshuka With Spinach & Feta Cheese Recipe we first have to get all the set of ingredients ready. Have the tomato puree ready and some tomatoes, blanched and chopped roughly.|Preheat the oven to 180 C.|Heat oil in a |.  Add the onions, garlic, chopped red bell peppers and sauté over medium heat until soft and tender. Add in the jalapenos and spinach and cook for another couple of minutes until the spinach wilts down.|Finally stir in the tomato puree, along with the chopped tomatoes, bay leaf, salt, sugar, red chilli, paprika, cumin powder and cook them all together for another 5 to 10 minutes until the spicy tomato sauce has slightly thickened.|At this stage, stir in the feta cheese, check the salt and spices and adjust to suit your taste.  Remember feta already has a lot of salt in it.|Finally, crack the eggs into the tomato mixture and space them out evenly. Place the Shakshuka into the oven and bake until the eggs are just about set and cooked from the top. This would take about 5 to 7 minutes. |Once done, remove from the oven, sprinkle the chopped coriander leaves on the top and serve it along with a hot sauce.|Serve the Shakshuka With Spinach And Feta Cheese along with whole grains like couscous or a steamed millet, and a side of | to make it a complete meal by itself."
Spicy Moroccan Rice With Chicken Recipe,"Moroccan Rice with Chicken is a spicy, sumptuous one pot meal with an eclectic mix of spices. Moroccan food emphasizes on fresh ingredients and aromatic spice blends. The slow cooking method infuses the rich flavour of the spices into the rice. Juicy chicken thighs are marinated in Moroccan Spice blend and is then cooked along with rice retaining its aroma and essence. Replace water with chicken broth for added flavor. Serve Spicy Moroccan Rice With Chicken Recipe as a one pot dinner with   and a   as dessert.  If you like this recipe, here are a few more Moroccan recipes to try",African,Main Course,High Protein Non Vegetarian,Chicken|Onion|Rice|Chicken stock|Kabuli Chana (White Chickpeas)|Parsley leaves|Cumin seeds (Jeera)|Dry ginger powder|Salt|Black pepper powder|Cinnamon Stick (Dalchini)|Coriander (Dhania) Seeds|Red Chilli powder|Cloves (Laung),"To prepare Spicy Moroccan Rice With Chicken Recipe, we will first make the spice mix. |In a mixer jar, combine the cumin, ground ginger, salt, black pepper, cinnamon stick, coriander seeds, red chilli powder, ground allspice, ground cloves and grind to a fine powder to make the Moroccan Spice Blend.|Mix the chicken pieces with about 2-3 tablespoons of Moroccan spice blend and a little water and keep aside for 30 minutes.|Heat butter in pressure cookeron medium heat and add sliced onion. Saute until soft and transparent.|Add the marinated chicken pieces. Saute and cook for about five minutes in medium heat.|Take the uncooked rice and add to the chicken mix. Toss for a couple of minutes and add chicken broth and chickpeas.|Pressure cook until one whistle and allow the pressure to release naturally.|Serve Spicy Moroccan Rice With Chicken Recipe as a one pot dinner with | and a | as dessert."
Moroccan Chicken Stew Recipe With Sauteed Zucchini & Onion Dressing,"Moroccan Chicken Stew Recipe With Sauteed Zucchini & Onion Dressing is a one pot recipe that is served with steamed rice. Roasted brown chicken, characterised by inclusion of chickpeas and loads of paprika and other spices leave a lingering taste on the tastebuds. Serve Moroccan Chicken Stew Recipe With Sauteed Zucchini & Onion Dressing on a bed of   like it is served traditionally in Africa. Here are more exotic recipes that you can also try",African,Main Course,Non Vegeterian,Boneless chicken|Salt|Onion|Garlic|Carrots (Gajjar)|Celery|Ginger|Paprika powder|Cumin powder (Jeera)|Dried oregano|Cayenne Pepper|Turmeric powder (Haldi)|Water|Tomato|Kabuli Chana (White Chickpeas)|Green zucchini|Lemon juice|Green zucchini|Onion|Strawberries,"To prepare Moroccan Chicken Stew Recipe With Sauteed Zucchini & Onion Dressing, get prep with all the ingredients first.|Season chicken with salt and brown in oil in a large sauce pan over medium heat until almost cooked through. Remove chicken from pan and keep aside.|Meanwhile pressure cook chickpeas till cooked and soft, for about 5-6 whistles.|Saute onion, garlic, carrots and celery in same pan.|When it is cooked, stir in ginger, paprika, cumin, oregano, cayenne pepper and turmeric.|Stir fry for about 1 minute; then add water and crushed tomatoes.|Return chicken to pan, reduce heat to low and simmer for about 10 mins.|Add chickpeas and zucchini to pan and bring to boil once again.|Cover pan and cook for about 15 mins or until zucchini is cooked through and tender. |Saute a few zucchini and onion slices in a separate kadai and keep aside.|Serve Moroccan Chicken Stew Recipe With Sauteed Zucchini & Onion Dressing on a bed of | like it is served traditionally in Africa."
Moroccan Roast Chicken with Apricots Recipe,"The secret to making tender roast chicken is the spice blend that goes in marinating the chicken along with basting the chicken at regular intervals while baking to keep it moist. This Moroccan spiced roast chicken is a mixture of spice, sweet and sour taste all together at the same time. To speed the roasting time, you can use spatchcock cut chicken(whole chicken cut into a butterfly shape which makes it rest flat on the surface. Moroccan spices is one of the most delicious spices and the chicken roasted with Moroccan spice tastes delicious. Harissa is one of the most important sauce to be used. The mixture of spice powder along with harissa gives a unique and bold flavour to the chicken. When you have guests home, Moroccan roast chicken is something that you can try to impress your guests.  Serve Moroccan Roast Chicken with Apricots along with   for a weekday night dinner. If you like this recipe, you can also try other Moroccan recipes such as",African,Dinner,High Protein Non Vegetarian,Chicken|Butter (Unsalted)|Extra Virgin Olive Oil|Cinnamon Powder (Dalchini)|Coriander Powder (Dhania)|Cumin powder (Jeera)|Paprika powder|Red Chilli powder|Sumac|Salt|Black pepper powder|Mixed vegetables|Apricots|Honey,"To begin making the Moroccan Roast Chicken with Apricots recipe, first tie the legs of the chicken together with wax free thread. Place the chicken on baking tray with breast side up. Pat dry the chicken. |In a bowl add olive oil, cinnamon powder, coriander powder, cumin powder, paprika powder, red chilli powder, sumac,  harissa paste, salt, pepper apricots, honey, whisk together. Rub this spice mix all over the chicken, under the breast, behind on it back evenly. |Into the same bowl you mixed the spices, add all the vegetables. Add a few drops of olive oil, toss it together and place these vegetables some inside the chicken and some on the outside next to chicken.|Preheat oven to 180 degree centigrade. Roast the chicken in oven for about 30 minutes. In between keep brushing melted butter over the chicken, also bast the chicken (the juices and olive oil that flows down into the baking tray pour it back over the chicken).| Do this atleast 3 to 4 times in between the roasting time. Using tongs turn the chicken breast side facing down and roast for about 15 minutes. Remember to brush butter and bast the chicken at regular intervals. We want to see the skin turn brown. |In a bowl add honey and apricots, coat the apricots well in honey. Next turn back the chicken with breast side facing up using tongs. Pour few tablespoon water and place the honey coated apricots over and inside the chicken. |Roast for another 15 minutes. We know the chicken is roasted well when the thermometer inserted into the chicken thighs reads about 180 degree centigrade. |Remove from oven and cut the chicken into pieces and serve hot.|Serve Moroccan Roast Chicken with Apricots along with | for a weekday night dinner."
Moroccan Chicken Burgers With Feta And Carrot Recipe,"Moroccan Chicken Burgers With Feta And Carrot Recipe is a burger made differently. Grilled chicken patty stuffed inside small pita bread which is slathered with little hung curd along with carrot slaw and feta cheese is one of the best burgers. Instead of regular burger buns, Moroccan use their traditional buns – pita bread to make this delicious burgers. The combination of Moroccan style carrot slaw and crumbled feta cheese is heavenly. Try it and you will know it. Serve Moroccan Chicken Burgers With Feta And Carrot  along with   followed by a dessert of  .  If you like this recipe, you can also try other Pita bread recipes such as",African,Dinner,Non Vegeterian,Chicken|Onion|Mint Leaves (Pudina)|Ginger|Paprika powder|Cumin powder (Jeera)|Garlic|Salt|Black pepper powder|Lemon juice|Oil|Mini Pita Breads|Iceberg lettuce|Hung Curd (Greek Yogurt)|Feta Cheese|Carrots (Gajjar)|Lemon juice|Black pepper powder|Salt|Extra Virgin Olive Oil,"To begin making the Moroccan Chicken Burgers With Feta And Carrot recipe, into the minced chicken in a mixing bowl, add finely chopped onions, mint leaves, grated ginger, minced garlic, paprika, cumin powder, pepper powder, salt, harissa and lime juice. |Mix well until combined. Divide into 4 equal portions. Shape into 1 inch thick patty. Keep aside.|Heat up your grill on medium flame. Brush oil over the grill and place the chicken patty over the hot grill. Cook for 3 to 4 minutes on one side and then flip to cook on other side. |Make sure chicken is cooked through and browned well. Remove the patty from grill.|For carrot slaw, cut carrots into thin strips. Add olive oil, pepper powder, salt and lime juice. Mix well.|Lightly grill the pita bread. Cut the pita bread in the middle from one end and leave the other ends intact. Smear hung curd inside the pita bread. Place few lettuce leaves and the chicken patty. Spoon some carrot slaw other the grilled chicken patty and crumble some feta cheese. Serve.|Serve Moroccan Chicken Burgers With Feta And Carrot  along with | followed by a dessert of |. "
Marrakesh Vegetable Curry Recipe,"Marrakesh Vegetable Curry Recipe is loaded with veggies like beans, carrot, sweet potato, eggplant, spinach, zucchini, bell peppers, and onion. It's mixed with blanched almonds, orange juice, raisins, and spices. Serve Marrakesh Vegetable Curry Recipe along with cooked couscous or   and a   or   for a complete meal. If you like this recipe, try more recipes like",African,Main Course,Vegetarian,Green beans (French Beans)|Carrot (Gajjar)|Sweet Potato|Brinjal (Baingan / Eggplant)|Green zucchini|Red Yellow or Green Bell Pepper (Capsicum)|Onion|Spinach|Garlic|Cinnamon Stick (Dalchini)|Curry powder|Turmeric powder (Haldi)|Fresh orange juice|Badam (Almond)|Raisins|Black pepper powder|Sunflower Oil,"To begin making Marrakesh Vegetable Curry Recipe, prepare all the ingredients and keep ready.|In a large saucepan, heat some oil, throw in all the veggies (chopped beans, carrot, sweet potato, eggplant, zucchini, capsicum, and onion) and saute for 3-5 minutes of till the veggies are almost done.|In another medium pan take 1 tablespoons olive oil, garlic, turmeric, curry powder, cinnamon, salt and pepper and sauté over medium heat for 3 minutes.|Add this sauted spice mix into the veggie mix. |Add the remaining ingredients like orange juice, almond, raisin and salt. Mix everything well and simmer for 15 -20 minutes on low flame.|Finally add chopped spinach to the curry, let it boil for 5 mins till combined well and switch off. |Serve Marrakesh Vegetable Curry Recipe along with cooked couscous or | and a | or | for a complete meal."
Vegetarian Pumpkin And Chickpea Soup Recipe,"Vegetarian Pumpkin and Chickpea Soup Recipe is healthy, nutritious and very filling. Soups are great foods; healthy, delicious and easy to make! Another plus to soups is the fact that making it is pretty quick, and is a good reason to clean out any leftover veggies in the fridge before refilling it again. Most households do this, before their next bout of food shopping, and you can do it too! Serve Vegetarian Pumpkin And Chickpea Soup Recipe with   and  . If you like this recipe, you can try other recipes like",African,Appetizer,High Protein Vegetarian,Kaddu (Parangikai/ Pumpkin)|Tomatoes|Onion|Garlic|Red Bell pepper (Capsicum)|Celery|Kabuli Chana (White Chickpeas)|Salt and Pepper|Paprika powder|Green Chilli|Parsley leaves|Bread rusks,"To begin making the Vegetarian Pumpkin and Chickpea Soup Recipe, prep up all the ingredients in advance.|In a large soup pot, put all the ingredients together, cover them with water and bring them to boil.|Allow the vegetables to simmer until they are soft and the soup smells full of flavor. This takes about 20 to 25 minutes.|Serve the Pumpkin and Chickpea Soup along with parsley and chili and some toasted bread for a wholesome weeknight dinner with | and |."
