title,description,ingredients,steps
Duck and prune tagine,"Duck legs are the ultimate choice for low-and-slow cooking, as they become fall-apart tender with ease. What’s more they’re flavoursome enough to stand up to lots of spices. It’s also a beautiful meat to match with fruit, which this tagine effortlessly proves. This recipe can be made ahead and frozen – see the tips below. Discover more brilliant batch cooking recipes.","['2 tbsp olive oil', '\xa02 cinnamon sticks', '3 red onions, finely sliced', '5 garlic cloves, finely sliced', '2 tbsp harissa', '4 tbsp ras el hanout', '2 tsp ground ginger', '4 large duck legs', '1 litre chicken stock', '2 x 400g tins chopped tomatoes', '2 preserved lemons', '400g tin chickpeas, drained', '150g pitted kalamata olives', '200g soft pitted prunes']","['Pour the oil into a heavy-based pan or casserole over a medium heat, then add the cinnamon sticks followed by the onions, garlic and a pinch of salt. Cook for about 5 minutes until the onions are just starting to soften, then add the harissa, ras el hanout and ground ginger. Stir for another minute.#', 'Add the duck legs, then cover with the stock and tinned tomatoes. Quarter the preserved lemons and scrape out the flesh, reserving half of it, then finely chop the peel and add the reserved flesh and peel to the pan. Leave to cook over a low heat, uncovered, for 2 hours.', 'Carefully remove the duck legs from the pan and use a fork to pull the meat from the bones – it should come away easily. Discard the bones and skin, then return the meat to the pan. Add the chickpeas, olives and prunes and cook for a further 1 hour.', 'Serve the tagine sprinkled with the chopped herbs, flaked almonds and pomegranate seeds, with rice on the side.']"
Potato tagine with baked halloumi,"This North African-inspired potato dish is by no means an authentic tagine, but it does include the fantastic flavours of cinnamon, coriander, preserved lemon and olives – making it a dinner winner. Halloumi also tops this fantastic lentil stew.","['2 tbsp vegetable oil', '2 onions, sliced', '6 garlic cloves, finely sliced', '1 green pepper, sliced', '1 cinnamon stick', '1 tsp ground turmeric', '1 tsp ground cumin', '1 tsp ground coriander', '½ tsp chilli powder', '150g pitted green olives', '2 preserved lemons, pips removed, roughly chopped', '400g tin chickpeas', '800g waxy potatoes, washed and cut into 1cm slices', '300ml vegetable stock', '250g block halloumi', '½ bunch chopped coriander']","['Heat the oven to 180°C fan/gas 6. Heat the oil in a large shallow ovenproof casserole or pan and fry the onions for 5 minutes. Add the garlic, green pepper and spices, then fry for another 5 minutes. Stir in the olives, preserved lemons and chickpeas (including the liquid from the tin).', 'Add the potatoes, stirring to coat, then the stock (the liquid should just cover the potatoes) and cook in the oven for 45 minutes until the potatoes are tender and starting to crisp. Switch the oven to the grill setting and heat to medium high.', 'Slice the halloumi lengthways and lay it over the potatoes. Grill until soft and golden. Serve immediately while the cheese is all lovely and stretchy, sprinkled with plenty of fresh coriander.']"
Merguez sausages with crispy chickpeas and preserved lemon yogurt,"Merguez sausages with crispy, roasted chickpeas makes a flavoursome alternative to bangers and mash. Serve with dollops of lemony yogurt. Next time, try Merguez baguettes stuffed with crispy duck-fat roasties and garlicky aioli. Seriously.","['2 x 400g tins chickpeas, drained', '3 tbsp olive oil, plus extra to fry', '1 tsp fennel seeds, crushed', '½ tsp cumin seeds, crushed', '1 tsp coriander seeds, crushed', '1 tsp smoked paprika', '2 large tomatoes, chopped', '½ cucumber, halved lengthways, seeds scraped out and chopped', '½ small onion, chopped', '1 tsp sea salt', '8 merguez sausages', '1 tbsp rose harissa (optional)', 'Bunch coriander, finely chopped']","['Heat the oven to 180°C fan/gas 6. Put the chickpeas in a large baking dish, ideally all in a single layer, then add the olive oil, spices and a pinch of salt and pepper. Toss to coat, then roast for 45 minutes, stirring occasionally.', 'Meanwhile, put the tomatoes, cucumber and onion in a sieve and sprinkle with the salt. Toss, then set aside in the sink to drain.', 'Mix all the yogurt ingredients, then taste for seasoning – you may want to add more salt or preserved lemon brine. Set aside.', 'Put a wide frying or griddle pan over a medium heat and add a drizzle of oil. Add the sausages in a single layer and cook, turning regularly, for 15-20 minutes.', 'Remove the chickpeas from the oven and stir in the harissa (if using). Add the tomatoes, cucumber and onion, sprinkle over the coriander and stir. Serve the sausages with a pile of the chickpea mixture, some yogurt and extra mint leaves.']"
Chicken tagine casserole,"Enjoy all the rich flavours of a chicken tagine with the convenience of a traybake-style casserole. This baked tagine is packed with apricots, olives and chickpeas. Our cheat’s chicken tagine for two is on the table in just 15 mins.","['8 small free-range chicken thighs', '2 medium red onions, cut into wedges', '1 tsp ground cumin', '1 tsp ground coriander', '1 tsp ground turmeric', '1/2 tsp ground cinnamon', '2 tbsp olive oil', '2 x 400g tins chickpeas, drained', '2 tbsp rose harissa', '100g pitted green olives', '50g dried apricots, chopped', '1 preserved lemon, pith removed, thinly sliced', 'Bunch flatleaf parsley, roughly chopped', 'Natural yogurt and flatbreads to serve']","['Heat the oven to 180ºC fan/gas 6. Slash the skin of the chicken with a sharp knife and put in a baking dish or shallow casserole with the onion wedges. Mix the spices with the olive oil and season well with salt, then toss this with the chicken and onions. Roast, uncovered, for 20 minutes.', 'Add the chickpeas to the roasting tin with the harissa, olives, apricots and preserved lemon, then cook for a further 25 minutes. Scatter with parsley and serve with yogurt and flatbreads.']"
Preserved lemons,"With only two basic ingredients and some imaginative flavourings, preserved lemons are storecupboard stars. Make a jar or two with our easy recipe. Once your preserved lemons are ready, try them in our recipe for slow-braised lamb shoulder.","['12 small unwaxed lemons (about 1kg; see tips)', '200g pure salt', '8-10 mixed peppercorns', '2 fresh bay leaves', '1 chilli, halved (optional)']","['Juice 4 of the lemons and set the juice aside. Cut the rest of the lemons lengthways into quarters, stopping three quarters of the way through so the wedges are still attached at one end.', 'Sprinkle about 2 tsp salt onto the cut sides of each lemon, then layer in the jar(s) with the peppercorns, bay, chilli (if using) and any remaining salt. Press the lemons to help them release their juice, then pour in the reserved juice to cover. (If necessary, top up with filtered or boiled-and-cooled water to ensure the lemons are fully covered.)', 'Close the jar and set aside for 4-5 weeks in a cool spot, away from direct sunlight. Invert the jar every day for the first week or so to make sure the brine is evenly dispersed. The sealed jar(s) will keep for several months. Chill once opened and use within a couple of months.']"
Whole baked chicken with North African spices,"Ramp up roast chicken with North African spices in our easy recipe for whole baked chicken. Bake the chicken with water and spices in a casserole, then crisp up the skin. For an easy midweek option, try our honey and mustard baked chicken and rice.","['2 lemons', '3 garlic cloves, crushed', '2 tsp grated fresh ginger', '2 tsp ground cumin', '1 tsp ground cinnamon', '1 tsp ground turmeric', '\xa01 tsp sea salt', '½ tsp black pepper', '2 tbsp extra-virgin olive oil', '2 tbsp clear honey', '1.5 kg free-range chicken', '2 bay leaves, bashed', 'Steamed couscous, sprinkled with fresh coriander, to serve']","['Heat the oven to 150ºC fan/gas 3½. Stir together the zest and juice of 1 lemon with the garlic, ginger, ground spices, salt, pepper, oil and honey.', 'Slice the remaining lemon and put a few slices in the bird’s cavity with the bay. Scatter the rest of the lemon slices in a 6 litre casserole (with a lid).', 'Push your fingers under the skin at the neck end of the bird and gently release it from the flesh. Spoon a little of the spice paste under the skin, then spread the remaining paste all over the chicken.', 'Put the spiced chicken on top of the lemon slices in the casserole. Carefully pour 150ml cold water around the sides of the bird, avoiding getting it on the breast to keep the spice mix in place. Cover the dish and transfer to the oven. Cook for 1½ hours, then remove from the oven. Increase the oven temperature to 200ºC fan/gas 7.', 'Remove the casserole lid and baste the bird with the pan juices. Return to the oven and cook, uncovered, for a further 15-20 minutes until the skin is golden. Remove from the oven, then rest for 5 minutes.', 'Carve the chicken and serve drizzled with all the lovely pan juices and steamed couscous.']"
Clodagh McKenna’s Moroccan spiced lamb chops,"Clodagh McKenna spices up lamb chops with a harissa-yogurt marinade in this quick and easy recipe. Serve with a herby bulgur wheat salad. Recipe from In Minutes by Clodagh McKenna (Kyle Books £20). For a Sunday roast with a twist, try our Moroccan spiced lamb shoulder with freekeh.","['4-6 British lamb chops, depending on size', '1 tbsp olive oil']",
Root vegetable and lentil tagine,"Our take on a Moroccan tagine is packed with warming spices, seasonal veg and fibre-rich lentils for a healthy, vegan midweek meal.","['1 tbsp light olive oil', 'About 900g mixed root veg (see tip)', '3 tbsp dried harissa', 'Large handful fresh parsley, stalks and leaves chopped separately ', '200g dried green lentils', '2 x 400g tins cherry tomatoes', '700ml gluten-free vegetable stock', 'Grated zest and juice 1 lemon', '6 prunes, stoned and quartered', '1 small cauliflower, cut into florets, any small leaves reserved', 'Unsweetened coconut yogurt to serve', 'Cooked rice or couscous to serve']","['Heat the oil in a large heavy-based flameproof casserole (with a lid) over a medium heat. Add the root veg and fry for 10 minutes, stirring occasionally, until beginning to soften. Stir in the harissa paste, parsley stalks and lentils.', 'Add the tomatoes and stock, then stir in the preserved lemon and prunes. Bring to a simmer, then cover and cook for 20-25 minutes, stirring occasionally, until the lentils are tender.', 'Stir in the cauliflower, then bring back to a simmer. Season, then cook for 3-4 minutes, uncovered, until the cauliflower is starting to become tender. Add the cauliflower leaves, then cook for 2 minutes more. Serve with coconut yogurt and the parsley leaves scattered over the top, with rice or couscous.']"
Fruity lamb and olive tagine,"The secret to this sweet, spicy, melt-in-the-mouth fruity lamb tagine is time: after a few minutes prep, you can leave the oven to do the rest of the work while you get on with other things. Like this recipe? It freezes well, so it’s perfect for a batch-cooking session. Or try this rib-sticking Moroccan lamb tagine.","['Glug of oil for frying', '2 red onions, chopped', '3 fat garlic cloves, sliced', '1 tbsp ground ginger', '1 tbsp ground cinnamon', '1 tbsp ground cumin', '1 tbsp sweet paprika', '1 tbsp ground turmeric', '2 preserved lemons, halved, pith discarded and finely sliced', '1.2kg diced lamb leg or shoulder', '2 x 400g tins chopped tomatoes', '100g dried apricots', '100g pitted prunes', '280g jar green olives, pitted or left whole', '500ml lamb or chicken stock', '2 tbsp honey', 'Handful fresh coriander leaves', 'Handful fresh mint leaves', '150g pomegranate seeds', 'Handful pistachios, roughly chopped (optional)', 'Couscous or flatbreads to serve (optional)']","['Heat the oil in a deep hob-safe casserole over a medium heat. Add the onions and fry for 4-5 minutes until beginning to colour. Add the garlic, all the ground spices and the preserved lemons, then fry for 2 minutes more, stirring.', 'Heat the oven to 150°C/130°C fan/gas 2. Season the lamb, then add it to the pot and cook for 5 minutes, stirring regularly. Add the chopped tomatoes, apricots, prunes, olives, stock and honey, then bring to a fast simmer. Add 150ml water, then cover and put in the oven for 3½ hours.', 'Check the lamb is fall-apart tender, then taste and season with salt and pepper. Scatter with the herbs, some pomegranate seeds (serve the rest on the side) and, if using, pistachios. Enjoy with couscous or flatbreads, if you like.']"
Spicy beef harira,"A hearty, spicy beef harira soup spiked with ras el hanout, harissa and fresh coriander. Top this Moroccan-inspired bowlful with extra olives and a dollop of creamy Greek yoghurt to serve.","['2 tbsp olive oil', '250g British beef mince', '1 chopped onion', '1 crushed garlic clove', '400g tin of chopped tomatoes', '1 tbsp ras el hanout spice mix', '2 tsp harissa paste', '1 litre beef stock', '75g puy lentils', '\xa075g giant couscous', '100g sliced green olives', 'Large handful of freshly chopped coriander', 'Dollop of greek yogurt,\xa0a few more sliced olives,\xa0chopped fresh coriander, to serve']","['Heat the olive oil in a large casserole over a medium heat. Add the British beef mince and cook for 6-8 minutes until browned, breaking up with a wooden spoon as it fries. Remove the mince with a slotted spoon to a plate and set aside. ', 'Add the chopped onion to the pan and fry for 8 minutes until starting to soften, then stir in the crushed garlic clove and fry for 2 minutes more. Add a the tin of chopped tomatoes, ras el hanout spice mix and\xa0harissa paste to the onion and cook for 5 minutes until slightly reduced. ', 'Return the browned mince with the beef stock and\xa0lentils, then simmer for 20 minutes. Stir in the giant couscous and cook for 10 minutes until tender.', 'Stir in the green olives and a large handful of freshly chopped coriander, then taste and season. Spoon into bowls and top with a dollop of greek yogurt, a few more sliced olives and more chopped fresh coriander.']"
